Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cycler>=0.10->matplotlib) (1.15.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Run name sd_i_rc_cr
Encoder used Impala
Augumentation used random_cutout
Mixreg? False
Game coinrun
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Beware of the Impala!
Step: 8192	Mean reward: 0.625, 	Mean reward done: 0.3125
Estimated time of completion: 8.229855253982047 hours
Step: 16384	Mean reward: 2.5, 	Mean reward done: 1.25
Step: 24576	Mean reward: 2.5, 	Mean reward done: 1.1458332538604736
Step: 32768	Mean reward: 4.0625, 	Mean reward done: 1.8229166269302368
Step: 40960	Mean reward: 7.5, 	Mean reward done: 2.890625
Step: 49152	Mean reward: 6.875, 	Mean reward done: 2.6822919845581055
Step: 57344	Mean reward: 12.1875, 	Mean reward done: 4.192708492279053
Step: 65536	Mean reward: 11.875, 	Mean reward done: 3.4933037757873535
Step: 73728	Mean reward: 12.8125, 	Mean reward done: 3.5364582538604736
Step: 81920	Mean reward: 18.125, 	Mean reward done: 4.6041669845581055
Step: 90112	Mean reward: 14.0625, 	Mean reward done: 3.5260415077209473
Step: 98304	Mean reward: 18.4375, 	Mean reward done: 4.223958492279053
Step: 106496	Mean reward: 19.6875, 	Mean reward done: 4.630208492279053
Step: 114688	Mean reward: 21.875, 	Mean reward done: 4.828125476837158
Step: 122880	Mean reward: 22.8125, 	Mean reward done: 4.905506134033203
Step: 131072	Mean reward: 21.875, 	Mean reward done: 4.881695747375488
Step: 139264	Mean reward: 23.125, 	Mean reward done: 4.5691962242126465
Step: 147456	Mean reward: 20.0, 	Mean reward done: 4.260416507720947
Step: 155648	Mean reward: 23.4375, 	Mean reward done: 4.872024059295654
Step: 163840	Mean reward: 25.9375, 	Mean reward done: 5.206845283508301
Step: 172032	Mean reward: 23.75, 	Mean reward done: 4.9557294845581055
Step: 180224	Mean reward: 21.25, 	Mean reward done: 4.408854007720947
Step: 188416	Mean reward: 23.4375, 	Mean reward done: 4.75818395614624
Step: 196608	Mean reward: 23.75, 	Mean reward done: 4.700148582458496
Step: 204800	Mean reward: 22.5, 	Mean reward done: 4.5078125
Step: 212992	Mean reward: 28.4375, 	Mean reward done: 5.437500476837158
Step: 221184	Mean reward: 25.625, 	Mean reward done: 4.975074291229248
Step: 229376	Mean reward: 29.6875, 	Mean reward done: 5.536954879760742
Step: 237568	Mean reward: 25.625, 	Mean reward done: 4.648809909820557
Step: 245760	Mean reward: 34.6875, 	Mean reward done: 5.570807933807373
Step: 253952	Mean reward: 25.625, 	Mean reward done: 4.700149059295654
Step: 262144	Mean reward: 28.125, 	Mean reward done: 5.334449291229248
Step: 270336	Mean reward: 30.0, 	Mean reward done: 5.510044574737549
Step: 278528	Mean reward: 31.25, 	Mean reward done: 5.100074291229248
Step: 286720	Mean reward: 25.3125, 	Mean reward done: 4.721726417541504
Step: 294912	Mean reward: 35.0, 	Mean reward done: 5.6686506271362305
Step: 303104	Mean reward: 28.75, 	Mean reward done: 5.234002590179443
Step: 311296	Mean reward: 28.4375, 	Mean reward done: 5.376984119415283
Step: 319488	Mean reward: 32.5, 	Mean reward done: 5.668526649475098
Step: 327680	Mean reward: 34.0625, 	Mean reward done: 5.544641971588135
Step: 335872	Mean reward: 31.5625, 	Mean reward done: 5.41369104385376
Step: 344064	Mean reward: 29.6875, 	Mean reward done: 4.957589149475098
Step: 352256	Mean reward: 31.875, 	Mean reward done: 5.432765007019043
Step: 360448	Mean reward: 27.5, 	Mean reward done: 4.9308037757873535
Step: 368640	Mean reward: 34.0625, 	Mean reward done: 5.680307388305664
Step: 376832	Mean reward: 29.0625, 	Mean reward done: 5.289805889129639
Step: 385024	Mean reward: 35.625, 	Mean reward done: 5.644965171813965
Step: 393216	Mean reward: 38.4375, 	Mean reward done: 5.919146537780762
Step: 401408	Mean reward: 37.1875, 	Mean reward done: 5.885010719299316
Step: 409600	Mean reward: 37.8125, 	Mean reward done: 6.612723350524902
Step: 417792	Mean reward: 32.8125, 	Mean reward done: 5.611979961395264
Step: 425984	Mean reward: 32.8125, 	Mean reward done: 5.587177753448486
Step: 434176	Mean reward: 32.1875, 	Mean reward done: 5.623635292053223
Step: 442368	Mean reward: 25.9375, 	Mean reward done: 5.0245537757873535
Step: 450560	Mean reward: 28.4375, 	Mean reward done: 5.328496932983398
Step: 458752	Mean reward: 35.0, 	Mean reward done: 6.033482551574707
Step: 466944	Mean reward: 30.9375, 	Mean reward done: 5.567336082458496
Step: 475136	Mean reward: 30.9375, 	Mean reward done: 5.730902671813965
Step: 483328	Mean reward: 29.6875, 	Mean reward done: 5.0747761726379395
Step: 491520	Mean reward: 30.625, 	Mean reward done: 5.428323268890381
Step: 499712	Mean reward: 32.1875, 	Mean reward done: 5.483135223388672
Step: 507904	Mean reward: 25.625, 	Mean reward done: 4.791543006896973
Step: 516096	Mean reward: 32.8125, 	Mean reward done: 5.8154754638671875
Step: 524288	Mean reward: 27.5, 	Mean reward done: 5.479166507720947
Step: 532480	Mean reward: 34.0625, 	Mean reward done: 5.635788440704346
Step: 540672	Mean reward: 29.375, 	Mean reward done: 5.228050708770752
Step: 548864	Mean reward: 24.6875, 	Mean reward done: 4.536210536956787
Step: 557056	Mean reward: 29.0625, 	Mean reward done: 5.644841194152832
