Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six>=1.5 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from python-dateutil>=2.1->matplotlib) (1.15.0)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Run name sd_n_mx_cr
Encoder used Nature
Augumentation used none
Mixreg? True
Game coinrun
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Embrace Nature!
Step: 8192	Mean reward: 0.625, 	Mean reward done: 0.3125
Estimated time of completion: 7.69112601927999 hours
Step: 16384	Mean reward: 1.25, 	Mean reward done: 0.625
Step: 24576	Mean reward: 2.8125, 	Mean reward done: 1.3541666269302368
Step: 32768	Mean reward: 1.25, 	Mean reward done: 0.625
Step: 40960	Mean reward: 2.1875, 	Mean reward done: 1.0416666269302368
Step: 49152	Mean reward: 5.625, 	Mean reward done: 2.34375
Step: 57344	Mean reward: 8.4375, 	Mean reward done: 3.2291665077209473
Step: 65536	Mean reward: 4.6875, 	Mean reward done: 1.8750001192092896
Step: 73728	Mean reward: 9.0625, 	Mean reward done: 3.3802082538604736
Step: 81920	Mean reward: 9.6875, 	Mean reward done: 3.3072917461395264
Step: 90112	Mean reward: 11.25, 	Mean reward done: 3.7760422229766846
Step: 98304	Mean reward: 10.9375, 	Mean reward done: 3.5677084922790527
Step: 106496	Mean reward: 10.9375, 	Mean reward done: 3.4479167461395264
Step: 114688	Mean reward: 14.375, 	Mean reward done: 4.067708492279053
Step: 122880	Mean reward: 13.75, 	Mean reward done: 3.7239584922790527
Step: 131072	Mean reward: 16.25, 	Mean reward done: 4.0364580154418945
Step: 139264	Mean reward: 19.375, 	Mean reward done: 4.583333492279053
Step: 147456	Mean reward: 20.3125, 	Mean reward done: 4.567708492279053
Step: 155648	Mean reward: 20.3125, 	Mean reward done: 4.671875
Step: 163840	Mean reward: 18.75, 	Mean reward done: 4.2916669845581055
Step: 172032	Mean reward: 17.5, 	Mean reward done: 4.380208492279053
Step: 180224	Mean reward: 18.125, 	Mean reward done: 4.010416507720947
Step: 188416	Mean reward: 15.3125, 	Mean reward done: 3.9010417461395264
Step: 196608	Mean reward: 16.5625, 	Mean reward done: 3.715773582458496
Step: 204800	Mean reward: 14.6875, 	Mean reward done: 3.8072917461395264
Step: 212992	Mean reward: 16.25, 	Mean reward done: 4.296875
Step: 221184	Mean reward: 15.0, 	Mean reward done: 3.6324403285980225
Step: 229376	Mean reward: 12.5, 	Mean reward done: 3.1629464626312256
Step: 237568	Mean reward: 14.6875, 	Mean reward done: 3.7083332538604736
Step: 245760	Mean reward: 13.125, 	Mean reward done: 3.640625238418579
Step: 253952	Mean reward: 14.375, 	Mean reward done: 4.010416030883789
Step: 262144	Mean reward: 13.4375, 	Mean reward done: 3.5364582538604736
Step: 270336	Mean reward: 20.625, 	Mean reward done: 4.395089149475098
Step: 278528	Mean reward: 25.9375, 	Mean reward done: 5.20498514175415
Step: 286720	Mean reward: 21.875, 	Mean reward done: 4.871279716491699
Step: 294912	Mean reward: 24.0625, 	Mean reward done: 4.938615798950195
Step: 303104	Mean reward: 22.5, 	Mean reward done: 5.010416507720947
Step: 311296	Mean reward: 29.6875, 	Mean reward done: 5.080605506896973
Step: 319488	Mean reward: 24.6875, 	Mean reward done: 4.563243865966797
Step: 327680	Mean reward: 27.5, 	Mean reward done: 5.205357551574707
Step: 335872	Mean reward: 25.0, 	Mean reward done: 4.91592264175415
Step: 344064	Mean reward: 25.9375, 	Mean reward done: 5.049851417541504
Step: 352256	Mean reward: 28.75, 	Mean reward done: 5.058035850524902
Step: 360448	Mean reward: 26.875, 	Mean reward done: 5.140996932983398
Step: 368640	Mean reward: 25.625, 	Mean reward done: 4.391368865966797
Step: 376832	Mean reward: 22.8125, 	Mean reward done: 4.9427080154418945
Step: 385024	Mean reward: 21.875, 	Mean reward done: 4.923362731933594
Step: 393216	Mean reward: 19.6875, 	Mean reward done: 4.371279716491699
Step: 401408	Mean reward: 20.0, 	Mean reward done: 4.4921875
Step: 409600	Mean reward: 21.25, 	Mean reward done: 4.683035373687744
Step: 417792	Mean reward: 23.125, 	Mean reward done: 4.851190090179443
Step: 425984	Mean reward: 25.625, 	Mean reward done: 4.980282783508301
Step: 434176	Mean reward: 26.25, 	Mean reward done: 4.842262268066406
