Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cycler>=0.10->matplotlib) (1.15.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Run name sd_n_rc_cr
Encoder used Nature
Augumentation used random_cutout
Mixreg? False
Game coinrun
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Embrace Nature!
Step: 8192	Mean reward: 0.625, 	Mean reward done: 0.3125
Estimated time of completion: 7.179695336769025 hours
Step: 16384	Mean reward: 2.1875, 	Mean reward done: 1.09375
Step: 24576	Mean reward: 1.875, 	Mean reward done: 0.8854166865348816
Step: 32768	Mean reward: 0.3125, 	Mean reward done: 0.15625
Step: 40960	Mean reward: 2.1875, 	Mean reward done: 1.09375
Step: 49152	Mean reward: 2.1875, 	Mean reward done: 1.09375
Step: 57344	Mean reward: 2.8125, 	Mean reward done: 1.1458332538604736
Step: 65536	Mean reward: 5.0, 	Mean reward done: 2.2395832538604736
Step: 73728	Mean reward: 5.625, 	Mean reward done: 2.3177084922790527
Step: 81920	Mean reward: 8.75, 	Mean reward done: 3.2291669845581055
Step: 90112	Mean reward: 11.25, 	Mean reward done: 3.4583334922790527
Step: 98304	Mean reward: 10.3125, 	Mean reward done: 3.6302084922790527
Step: 106496	Mean reward: 13.125, 	Mean reward done: 3.765625
Step: 114688	Mean reward: 15.625, 	Mean reward done: 4.270833492279053
Step: 122880	Mean reward: 15.3125, 	Mean reward done: 4.09375
Step: 131072	Mean reward: 16.875, 	Mean reward done: 4.217261791229248
Step: 139264	Mean reward: 20.3125, 	Mean reward done: 4.390625
Step: 147456	Mean reward: 24.375, 	Mean reward done: 4.928570747375488
Step: 155648	Mean reward: 21.875, 	Mean reward done: 5.125
Step: 163840	Mean reward: 20.625, 	Mean reward done: 4.098958492279053
Step: 172032	Mean reward: 21.875, 	Mean reward done: 4.6822919845581055
Step: 180224	Mean reward: 22.8125, 	Mean reward done: 4.274553298950195
Step: 188416	Mean reward: 26.25, 	Mean reward done: 5.217261791229248
Step: 196608	Mean reward: 27.1875, 	Mean reward done: 5.188987731933594
Step: 204800	Mean reward: 27.5, 	Mean reward done: 5.008556365966797
Step: 212992	Mean reward: 28.125, 	Mean reward done: 5.20126485824585
Step: 221184	Mean reward: 28.4375, 	Mean reward done: 4.910342216491699
Step: 229376	Mean reward: 26.875, 	Mean reward done: 5.071056842803955
Step: 237568	Mean reward: 30.9375, 	Mean reward done: 5.449776649475098
Step: 245760	Mean reward: 32.8125, 	Mean reward done: 5.518600940704346
Step: 253952	Mean reward: 32.1875, 	Mean reward done: 5.709822177886963
Step: 262144	Mean reward: 31.5625, 	Mean reward done: 5.190104007720947
Step: 270336	Mean reward: 35.3125, 	Mean reward done: 5.708333969116211
Step: 278528	Mean reward: 30.9375, 	Mean reward done: 4.991319179534912
Step: 286720	Mean reward: 36.875, 	Mean reward done: 5.766988754272461
Step: 294912	Mean reward: 34.6875, 	Mean reward done: 5.713045597076416
Step: 303104	Mean reward: 34.6875, 	Mean reward done: 5.8359375
Step: 311296	Mean reward: 40.9375, 	Mean reward done: 6.079488754272461
Step: 319488	Mean reward: 36.25, 	Mean reward done: 5.647817134857178
Step: 327680	Mean reward: 34.0625, 	Mean reward done: 5.736111164093018
Step: 335872	Mean reward: 32.1875, 	Mean reward done: 5.339780807495117
Step: 344064	Mean reward: 34.0625, 	Mean reward done: 5.77194881439209
Step: 352256	Mean reward: 33.4375, 	Mean reward done: 5.487103462219238
Step: 360448	Mean reward: 38.75, 	Mean reward done: 5.647941589355469
Step: 368640	Mean reward: 36.875, 	Mean reward done: 6.1650543212890625
Step: 376832	Mean reward: 29.0625, 	Mean reward done: 4.749255657196045
Step: 385024	Mean reward: 35.3125, 	Mean reward done: 6.001115798950195
Step: 393216	Mean reward: 34.6875, 	Mean reward done: 5.638640403747559
Step: 401408	Mean reward: 37.8125, 	Mean reward done: 6.102057933807373
Step: 409600	Mean reward: 33.125, 	Mean reward done: 5.663318634033203
Step: 417792	Mean reward: 33.4375, 	Mean reward done: 5.326140403747559
Step: 425984	Mean reward: 39.6875, 	Mean reward done: 5.867311000823975
Step: 434176	Mean reward: 36.5625, 	Mean reward done: 6.074776649475098
