Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six>=1.5 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from python-dateutil>=2.1->matplotlib) (1.15.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Run name sd_i_mx_db
Encoder used Impala
Augumentation used none
Mixreg? True
Game dodgeball
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Beware of the Impala!
Step: 8192	Mean reward: 3.1875, 	Mean reward done: 1.5871198177337646
Estimated time of completion: 11.882966371356613 hours
Step: 16384	Mean reward: 2.375, 	Mean reward done: 0.8433878421783447
Step: 24576	Mean reward: 2.5625, 	Mean reward done: 0.6439453363418579
Step: 32768	Mean reward: 2.875, 	Mean reward done: 1.0004627704620361
Step: 40960	Mean reward: 2.0625, 	Mean reward done: 0.6375992894172668
Step: 49152	Mean reward: 2.625, 	Mean reward done: 0.7701593637466431
Step: 57344	Mean reward: 2.875, 	Mean reward done: 1.2810320854187012
Step: 65536	Mean reward: 2.6875, 	Mean reward done: 1.1228857040405273
Step: 73728	Mean reward: 2.0625, 	Mean reward done: 0.711577832698822
Step: 81920	Mean reward: 2.625, 	Mean reward done: 0.8567731380462646
Step: 90112	Mean reward: 2.125, 	Mean reward done: 0.7687060832977295
Step: 98304	Mean reward: 2.3125, 	Mean reward done: 0.9320719242095947
Step: 106496	Mean reward: 3.0625, 	Mean reward done: 1.128213882446289
Step: 114688	Mean reward: 2.6875, 	Mean reward done: 0.8401045203208923
Step: 122880	Mean reward: 2.25, 	Mean reward done: 0.7313767075538635
Step: 131072	Mean reward: 3.0, 	Mean reward done: 1.128823161125183
Step: 139264	Mean reward: 3.0, 	Mean reward done: 1.4885408878326416
Step: 147456	Mean reward: 2.5625, 	Mean reward done: 1.1430922746658325
Step: 155648	Mean reward: 3.5, 	Mean reward done: 0.9560970067977905
Step: 163840	Mean reward: 1.75, 	Mean reward done: 0.7510197162628174
Step: 172032	Mean reward: 3.6875, 	Mean reward done: 1.0880661010742188
Step: 180224	Mean reward: 3.375, 	Mean reward done: 1.1097441911697388
Step: 188416	Mean reward: 2.5, 	Mean reward done: 1.0116339921951294
Step: 196608	Mean reward: 2.5, 	Mean reward done: 1.0443092584609985
Step: 204800	Mean reward: 2.8125, 	Mean reward done: 0.8673830628395081
Step: 212992	Mean reward: 2.375, 	Mean reward done: 0.8167604804039001
Step: 221184	Mean reward: 3.1875, 	Mean reward done: 0.9933223724365234
Step: 229376	Mean reward: 3.9375, 	Mean reward done: 1.3380106687545776
Step: 237568	Mean reward: 3.5, 	Mean reward done: 1.3073914051055908
Step: 245760	Mean reward: 3.5625, 	Mean reward done: 1.3154104948043823
Step: 253952	Mean reward: 3.1875, 	Mean reward done: 1.0041989088058472
Step: 262144	Mean reward: 2.25, 	Mean reward done: 0.6696576476097107
Step: 270336	Mean reward: 3.4375, 	Mean reward done: 1.0828229188919067
Step: 278528	Mean reward: 3.25, 	Mean reward done: 1.108459234237671
Step: 286720	Mean reward: 3.125, 	Mean reward done: 1.3418420553207397
Step: 294912	Mean reward: 2.9375, 	Mean reward done: 1.3091182708740234
Step: 303104	Mean reward: 3.3125, 	Mean reward done: 1.1366925239562988
Step: 311296	Mean reward: 3.3125, 	Mean reward done: 1.0454881191253662
Step: 319488	Mean reward: 4.3125, 	Mean reward done: 1.1954162120819092
Step: 327680	Mean reward: 4.0625, 	Mean reward done: 1.6820294857025146
Step: 335872	Mean reward: 3.125, 	Mean reward done: 1.2783761024475098
Step: 344064	Mean reward: 2.25, 	Mean reward done: 0.9975818395614624
Step: 352256	Mean reward: 3.3125, 	Mean reward done: 1.6335842609405518
Step: 360448	Mean reward: 2.3125, 	Mean reward done: 1.056993007659912
Step: 368640	Mean reward: 2.9375, 	Mean reward done: 0.8380594253540039
Step: 376832	Mean reward: 2.9375, 	Mean reward done: 0.7879961133003235
Step: 385024	Mean reward: 3.8125, 	Mean reward done: 1.319219708442688
Step: 393216	Mean reward: 2.5, 	Mean reward done: 0.7645618319511414
Step: 401408	Mean reward: 3.8125, 	Mean reward done: 1.4445593357086182
Step: 409600	Mean reward: 3.3125, 	Mean reward done: 0.9823075532913208
Step: 417792	Mean reward: 4.0625, 	Mean reward done: 1.2513716220855713
Step: 425984	Mean reward: 3.5625, 	Mean reward done: 1.0037672519683838
