Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six>=1.5 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from python-dateutil>=2.1->matplotlib) (1.15.0)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Run name sd_i_na_db
Encoder used Impala
Augumentation used none
Mixreg? False
Game dodgeball
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Beware of the Impala!
Step: 8192	Mean reward: 3.1875, 	Mean reward done: 1.5871198177337646
Estimated time of completion: 5.65592419459588 hours
Step: 16384	Mean reward: 1.9375, 	Mean reward done: 0.8734840154647827
Step: 24576	Mean reward: 2.875, 	Mean reward done: 1.130306363105774
Step: 32768	Mean reward: 1.875, 	Mean reward done: 0.6912316679954529
Step: 40960	Mean reward: 3.1875, 	Mean reward done: 1.1864607334136963
Step: 49152	Mean reward: 2.625, 	Mean reward done: 1.2088100910186768
Step: 57344	Mean reward: 3.5625, 	Mean reward done: 1.3657255172729492
Step: 65536	Mean reward: 3.375, 	Mean reward done: 1.2079824209213257
Step: 73728	Mean reward: 3.625, 	Mean reward done: 1.2345327138900757
Step: 81920	Mean reward: 2.9375, 	Mean reward done: 1.378223180770874
Step: 90112	Mean reward: 2.125, 	Mean reward done: 0.8334972262382507
Step: 98304	Mean reward: 2.1875, 	Mean reward done: 0.6964148283004761
Step: 106496	Mean reward: 3.0625, 	Mean reward done: 0.9055440425872803
Step: 114688	Mean reward: 3.125, 	Mean reward done: 0.9484522938728333
Step: 122880	Mean reward: 2.5, 	Mean reward done: 0.9109101891517639
Step: 131072	Mean reward: 2.75, 	Mean reward done: 1.020151138305664
Step: 139264	Mean reward: 3.125, 	Mean reward done: 1.2849364280700684
Step: 147456	Mean reward: 3.25, 	Mean reward done: 0.9338531494140625
Step: 155648	Mean reward: 2.875, 	Mean reward done: 1.06414794921875
Step: 163840	Mean reward: 2.625, 	Mean reward done: 1.0622880458831787
Step: 172032	Mean reward: 2.5, 	Mean reward done: 1.1764334440231323
Step: 180224	Mean reward: 2.5, 	Mean reward done: 1.1615142822265625
Step: 188416	Mean reward: 2.4375, 	Mean reward done: 0.7311815619468689
Step: 196608	Mean reward: 2.9375, 	Mean reward done: 1.1748466491699219
Step: 204800	Mean reward: 4.625, 	Mean reward done: 1.4023380279541016
Step: 212992	Mean reward: 2.5625, 	Mean reward done: 1.1320266723632812
Step: 221184	Mean reward: 2.625, 	Mean reward done: 1.2126189470291138
Step: 229376	Mean reward: 3.5, 	Mean reward done: 1.180100440979004
Step: 237568	Mean reward: 3.5, 	Mean reward done: 1.0164389610290527
Step: 245760	Mean reward: 4.0, 	Mean reward done: 1.3755372762680054
Step: 253952	Mean reward: 2.25, 	Mean reward done: 0.9373218417167664
Step: 262144	Mean reward: 3.0625, 	Mean reward done: 1.1276556253433228
Step: 270336	Mean reward: 3.8125, 	Mean reward done: 1.1435825824737549
Step: 278528	Mean reward: 3.6875, 	Mean reward done: 1.2410351037979126
Step: 286720	Mean reward: 2.625, 	Mean reward done: 0.7176498174667358
Step: 294912	Mean reward: 2.6875, 	Mean reward done: 0.784026026725769
Step: 303104	Mean reward: 3.8125, 	Mean reward done: 1.4560270309448242
Step: 311296	Mean reward: 3.4375, 	Mean reward done: 1.16612708568573
Step: 319488	Mean reward: 2.4375, 	Mean reward done: 0.9898927807807922
Step: 327680	Mean reward: 3.5, 	Mean reward done: 0.9888617992401123
Step: 335872	Mean reward: 3.1875, 	Mean reward done: 0.9720589518547058
Step: 344064	Mean reward: 3.5625, 	Mean reward done: 1.199333667755127
Step: 352256	Mean reward: 2.375, 	Mean reward done: 0.7737139463424683
Step: 360448	Mean reward: 2.875, 	Mean reward done: 0.6750202178955078
Step: 368640	Mean reward: 3.0625, 	Mean reward done: 0.9194012880325317
Step: 376832	Mean reward: 2.9375, 	Mean reward done: 0.9178516864776611
Step: 385024	Mean reward: 3.3125, 	Mean reward done: 1.076019287109375
Step: 393216	Mean reward: 2.6875, 	Mean reward done: 1.0177274942398071
Step: 401408	Mean reward: 3.5625, 	Mean reward done: 1.0835305452346802
Step: 409600	Mean reward: 3.6875, 	Mean reward done: 0.9899426698684692
Step: 417792	Mean reward: 2.625, 	Mean reward done: 0.8901482224464417
Step: 425984	Mean reward: 4.25, 	Mean reward done: 1.4388126134872437
Step: 434176	Mean reward: 3.125, 	Mean reward done: 1.0126259326934814
Step: 442368	Mean reward: 3.375, 	Mean reward done: 0.9013541340827942
Step: 450560	Mean reward: 3.25, 	Mean reward done: 0.9083045125007629
