Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cycler>=0.10->matplotlib) (1.15.0)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Run name sd_n_rc_db
Encoder used Nature
Augumentation used random_cutout
Mixreg? False
Game dodgeball
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Embrace Nature!
Step: 8192	Mean reward: 3.0625, 	Mean reward done: 1.5745315551757812
Estimated time of completion: 3.92429045556734 hours
Step: 16384	Mean reward: 2.375, 	Mean reward done: 0.828147292137146
Step: 24576	Mean reward: 2.6875, 	Mean reward done: 0.9753617644309998
Step: 32768	Mean reward: 3.0625, 	Mean reward done: 1.1686596870422363
Step: 40960	Mean reward: 2.125, 	Mean reward done: 0.6902600526809692
Step: 49152	Mean reward: 2.8125, 	Mean reward done: 0.9180306792259216
Step: 57344	Mean reward: 2.625, 	Mean reward done: 0.947019636631012
Step: 65536	Mean reward: 2.0, 	Mean reward done: 0.6510534882545471
Step: 73728	Mean reward: 2.9375, 	Mean reward done: 1.2449530363082886
Step: 81920	Mean reward: 3.125, 	Mean reward done: 1.1849157810211182
Step: 90112	Mean reward: 3.1875, 	Mean reward done: 1.3146816492080688
Step: 98304	Mean reward: 2.1875, 	Mean reward done: 1.1480846405029297
Step: 106496	Mean reward: 2.375, 	Mean reward done: 1.2745378017425537
Step: 114688	Mean reward: 3.1875, 	Mean reward done: 1.1560661792755127
Step: 122880	Mean reward: 3.1875, 	Mean reward done: 1.071974277496338
Step: 131072	Mean reward: 3.375, 	Mean reward done: 1.265299677848816
Step: 139264	Mean reward: 3.375, 	Mean reward done: 1.1952276229858398
Step: 147456	Mean reward: 2.6875, 	Mean reward done: 1.2364842891693115
Step: 155648	Mean reward: 3.3125, 	Mean reward done: 1.176588535308838
Step: 163840	Mean reward: 2.4375, 	Mean reward done: 1.096541404724121
Step: 172032	Mean reward: 2.125, 	Mean reward done: 0.8076603412628174
Step: 180224	Mean reward: 2.875, 	Mean reward done: 1.2152639627456665
Step: 188416	Mean reward: 2.875, 	Mean reward done: 1.2536455392837524
Step: 196608	Mean reward: 2.4375, 	Mean reward done: 0.685887336730957
Step: 204800	Mean reward: 3.0625, 	Mean reward done: 0.9240162372589111
Step: 212992	Mean reward: 3.0, 	Mean reward done: 1.1846693754196167
Step: 221184	Mean reward: 2.5625, 	Mean reward done: 0.7940769195556641
Step: 229376	Mean reward: 2.375, 	Mean reward done: 0.8092289566993713
Step: 237568	Mean reward: 3.25, 	Mean reward done: 1.0303748846054077
Step: 245760	Mean reward: 3.6875, 	Mean reward done: 1.1921727657318115
Step: 253952	Mean reward: 3.5625, 	Mean reward done: 1.27364981174469
Step: 262144	Mean reward: 3.25, 	Mean reward done: 1.1851433515548706
Step: 270336	Mean reward: 3.1875, 	Mean reward done: 0.9302045106887817
Step: 278528	Mean reward: 3.0, 	Mean reward done: 0.8811520934104919
Step: 286720	Mean reward: 3.8125, 	Mean reward done: 1.434617519378662
Step: 294912	Mean reward: 2.625, 	Mean reward done: 1.0890884399414062
Step: 303104	Mean reward: 3.1875, 	Mean reward done: 1.316182017326355
Step: 311296	Mean reward: 2.75, 	Mean reward done: 1.1437724828720093
Step: 319488	Mean reward: 3.375, 	Mean reward done: 1.2163352966308594
Step: 327680	Mean reward: 3.9375, 	Mean reward done: 1.1693392992019653
Step: 335872	Mean reward: 3.625, 	Mean reward done: 1.2695047855377197
Step: 344064	Mean reward: 2.8125, 	Mean reward done: 0.8637673854827881
Step: 352256	Mean reward: 3.4375, 	Mean reward done: 1.134861946105957
Step: 360448	Mean reward: 3.75, 	Mean reward done: 1.3526064157485962
Step: 368640	Mean reward: 2.9375, 	Mean reward done: 1.176410436630249
Step: 376832	Mean reward: 3.5625, 	Mean reward done: 1.0772289037704468
Step: 385024	Mean reward: 3.625, 	Mean reward done: 1.2514328956604004
Step: 393216	Mean reward: 4.1875, 	Mean reward done: 1.612644910812378
Step: 401408	Mean reward: 3.3125, 	Mean reward done: 1.2386505603790283
Step: 409600	Mean reward: 3.5, 	Mean reward done: 1.0132741928100586
Step: 417792	Mean reward: 3.125, 	Mean reward done: 1.1011849641799927
Step: 425984	Mean reward: 3.75, 	Mean reward done: 1.6075081825256348
