Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six>=1.5 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from python-dateutil>=2.1->matplotlib) (1.15.0)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Run name sd_i_mx_sp
Encoder used Impala
Augumentation used none
Mixreg? True
Game starpilot
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Beware of the Impala!
Step: 8192	Mean reward: 5.21875, 	Mean reward done: 2.3830788135528564
Estimated time of completion: 6.601028273709947 hours
Step: 16384	Mean reward: 5.09375, 	Mean reward done: 1.2199621200561523
Step: 24576	Mean reward: 6.15625, 	Mean reward done: 1.4892522096633911
Step: 32768	Mean reward: 7.0, 	Mean reward done: 1.582310438156128
Step: 40960	Mean reward: 7.6875, 	Mean reward done: 1.7594057321548462
Step: 49152	Mean reward: 7.3125, 	Mean reward done: 1.4212219715118408
Step: 57344	Mean reward: 7.1875, 	Mean reward done: 1.6029951572418213
Step: 65536	Mean reward: 7.78125, 	Mean reward done: 1.6686246395111084
Step: 73728	Mean reward: 7.34375, 	Mean reward done: 1.5288026332855225
Step: 81920	Mean reward: 7.0625, 	Mean reward done: 1.4576406478881836
Step: 90112	Mean reward: 8.8125, 	Mean reward done: 1.7824534177780151
Step: 98304	Mean reward: 8.40625, 	Mean reward done: 1.8640391826629639
Step: 106496	Mean reward: 7.65625, 	Mean reward done: 1.5057495832443237
Step: 114688	Mean reward: 8.90625, 	Mean reward done: 1.9517391920089722
Step: 122880	Mean reward: 8.75, 	Mean reward done: 2.0089592933654785
Step: 131072	Mean reward: 9.84375, 	Mean reward done: 2.217442035675049
Step: 139264	Mean reward: 9.125, 	Mean reward done: 1.9244017601013184
Step: 147456	Mean reward: 9.6875, 	Mean reward done: 2.1149773597717285
Step: 155648	Mean reward: 10.15625, 	Mean reward done: 2.1279876232147217
Step: 163840	Mean reward: 8.5625, 	Mean reward done: 1.8783236742019653
Step: 172032	Mean reward: 10.65625, 	Mean reward done: 2.4985408782958984
Step: 180224	Mean reward: 10.53125, 	Mean reward done: 2.287430763244629
Step: 188416	Mean reward: 12.03125, 	Mean reward done: 2.593736171722412
Step: 196608	Mean reward: 11.5, 	Mean reward done: 2.4195690155029297
Step: 204800	Mean reward: 9.90625, 	Mean reward done: 2.0466842651367188
Step: 212992	Mean reward: 10.25, 	Mean reward done: 2.1413989067077637
Step: 221184	Mean reward: 11.1875, 	Mean reward done: 2.233663320541382
Step: 229376	Mean reward: 10.5, 	Mean reward done: 2.2528133392333984
Step: 237568	Mean reward: 10.71875, 	Mean reward done: 2.351515769958496
Step: 245760	Mean reward: 11.40625, 	Mean reward done: 2.543069362640381
Step: 253952	Mean reward: 11.34375, 	Mean reward done: 2.2017135620117188
Step: 262144	Mean reward: 11.3125, 	Mean reward done: 2.0604071617126465
Step: 270336	Mean reward: 11.125, 	Mean reward done: 2.357248544692993
Step: 278528	Mean reward: 11.5, 	Mean reward done: 2.3684685230255127
Step: 286720	Mean reward: 13.78125, 	Mean reward done: 2.7993733882904053
Step: 294912	Mean reward: 11.375, 	Mean reward done: 2.1458892822265625
Step: 303104	Mean reward: 11.5625, 	Mean reward done: 2.3195581436157227
Step: 311296	Mean reward: 11.15625, 	Mean reward done: 2.040055990219116
Step: 319488	Mean reward: 11.46875, 	Mean reward done: 2.3082756996154785
Step: 327680	Mean reward: 11.9375, 	Mean reward done: 2.1676595211029053
Step: 335872	Mean reward: 12.34375, 	Mean reward done: 2.4274749755859375
Step: 344064	Mean reward: 12.28125, 	Mean reward done: 2.4365243911743164
Step: 352256	Mean reward: 11.6875, 	Mean reward done: 2.0961694717407227
Step: 360448	Mean reward: 13.53125, 	Mean reward done: 2.7199785709381104
Step: 368640	Mean reward: 12.90625, 	Mean reward done: 2.3120105266571045
Step: 376832	Mean reward: 12.3125, 	Mean reward done: 2.402846574783325
Step: 385024	Mean reward: 13.4375, 	Mean reward done: 2.450049877166748
Step: 393216	Mean reward: 13.28125, 	Mean reward done: 2.530336380004883
Step: 401408	Mean reward: 14.0625, 	Mean reward done: 2.7343292236328125
Step: 409600	Mean reward: 13.34375, 	Mean reward done: 2.43761944770813
Step: 417792	Mean reward: 14.125, 	Mean reward done: 2.679042100906372
Step: 425984	Mean reward: 14.09375, 	Mean reward done: 2.4233434200286865
