Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six>=1.5 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from python-dateutil>=2.1->matplotlib) (1.15.0)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Run name sd_n_mx_sp
Encoder used Nature
Augumentation used none
Mixreg? True
Game starpilot
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Embrace Nature!
Step: 8192	Mean reward: 5.28125, 	Mean reward done: 2.391955614089966
Estimated time of completion: 3.391011915583578 hours
Step: 16384	Mean reward: 5.03125, 	Mean reward done: 1.1413756608963013
Step: 24576	Mean reward: 4.375, 	Mean reward done: 0.9739096760749817
Step: 32768	Mean reward: 6.03125, 	Mean reward done: 1.5242496728897095
Step: 40960	Mean reward: 7.09375, 	Mean reward done: 1.6065806150436401
Step: 49152	Mean reward: 5.96875, 	Mean reward done: 1.3159356117248535
Step: 57344	Mean reward: 4.65625, 	Mean reward done: 1.0682655572891235
Step: 65536	Mean reward: 5.90625, 	Mean reward done: 1.4233500957489014
Step: 73728	Mean reward: 6.40625, 	Mean reward done: 1.4621703624725342
Step: 81920	Mean reward: 5.3125, 	Mean reward done: 1.257873296737671
Step: 90112	Mean reward: 7.53125, 	Mean reward done: 1.7340625524520874
Step: 98304	Mean reward: 6.03125, 	Mean reward done: 1.4157439470291138
Step: 106496	Mean reward: 6.6875, 	Mean reward done: 1.4193572998046875
Step: 114688	Mean reward: 7.0, 	Mean reward done: 1.615940809249878
Step: 122880	Mean reward: 7.4375, 	Mean reward done: 1.7307332754135132
Step: 131072	Mean reward: 7.8125, 	Mean reward done: 1.8820956945419312
Step: 139264	Mean reward: 8.09375, 	Mean reward done: 1.9750715494155884
Step: 147456	Mean reward: 7.5, 	Mean reward done: 1.6168440580368042
Step: 155648	Mean reward: 8.59375, 	Mean reward done: 1.854256272315979
Step: 163840	Mean reward: 7.65625, 	Mean reward done: 1.6499805450439453
Step: 172032	Mean reward: 6.84375, 	Mean reward done: 1.516808032989502
Step: 180224	Mean reward: 7.46875, 	Mean reward done: 1.5316165685653687
Step: 188416	Mean reward: 7.46875, 	Mean reward done: 1.576244831085205
Step: 196608	Mean reward: 8.28125, 	Mean reward done: 1.83595871925354
Step: 204800	Mean reward: 8.46875, 	Mean reward done: 1.7743781805038452
Step: 212992	Mean reward: 9.03125, 	Mean reward done: 2.019113063812256
Step: 221184	Mean reward: 7.21875, 	Mean reward done: 1.4771771430969238
Step: 229376	Mean reward: 7.8125, 	Mean reward done: 1.5529162883758545
Step: 237568	Mean reward: 8.40625, 	Mean reward done: 1.727173924446106
Step: 245760	Mean reward: 7.75, 	Mean reward done: 1.603417158126831
Step: 253952	Mean reward: 7.96875, 	Mean reward done: 1.6326721906661987
Step: 262144	Mean reward: 7.84375, 	Mean reward done: 1.5036091804504395
Step: 270336	Mean reward: 8.4375, 	Mean reward done: 1.7816448211669922
Step: 278528	Mean reward: 8.875, 	Mean reward done: 1.8939361572265625
Step: 286720	Mean reward: 9.3125, 	Mean reward done: 1.8373655080795288
Step: 294912	Mean reward: 8.0625, 	Mean reward done: 1.6284737586975098
Step: 303104	Mean reward: 9.375, 	Mean reward done: 2.0339338779449463
Step: 311296	Mean reward: 8.78125, 	Mean reward done: 1.7332121133804321
Step: 319488	Mean reward: 8.6875, 	Mean reward done: 1.5911505222320557
Step: 327680	Mean reward: 9.03125, 	Mean reward done: 1.7800452709197998
Step: 335872	Mean reward: 7.9375, 	Mean reward done: 1.4509220123291016
Step: 344064	Mean reward: 10.0, 	Mean reward done: 2.0522518157958984
Step: 352256	Mean reward: 8.625, 	Mean reward done: 1.7397348880767822
Step: 360448	Mean reward: 8.84375, 	Mean reward done: 1.702777624130249
Step: 368640	Mean reward: 9.3125, 	Mean reward done: 1.8504492044448853
Step: 376832	Mean reward: 9.65625, 	Mean reward done: 1.9805883169174194
Step: 385024	Mean reward: 9.625, 	Mean reward done: 1.9151601791381836
Step: 393216	Mean reward: 9.625, 	Mean reward done: 2.1032285690307617
Step: 401408	Mean reward: 8.125, 	Mean reward done: 1.6223130226135254
Step: 409600	Mean reward: 9.21875, 	Mean reward done: 1.717980980873108
Step: 417792	Mean reward: 10.03125, 	Mean reward done: 1.9855834245681763
Step: 425984	Mean reward: 8.65625, 	Mean reward done: 1.7073493003845215
