Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cycler>=0.10->matplotlib) (1.15.0)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Run name sd_n_rc_sp
Encoder used Nature
Augumentation used random_cutout
Mixreg? False
Game starpilot
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Embrace Nature!
Step: 8192	Mean reward: 5.28125, 	Mean reward done: 2.391951084136963
Estimated time of completion: 3.397789486269984 hours
Step: 16384	Mean reward: 5.84375, 	Mean reward done: 1.3280727863311768
Step: 24576	Mean reward: 6.0, 	Mean reward done: 1.3984391689300537
Step: 32768	Mean reward: 6.3125, 	Mean reward done: 1.4532465934753418
Step: 40960	Mean reward: 7.625, 	Mean reward done: 1.875895619392395
Step: 49152	Mean reward: 8.8125, 	Mean reward done: 1.7674684524536133
Step: 57344	Mean reward: 5.5, 	Mean reward done: 1.0326238870620728
Step: 65536	Mean reward: 7.0625, 	Mean reward done: 1.4779132604599
Step: 73728	Mean reward: 7.03125, 	Mean reward done: 1.6617796421051025
Step: 81920	Mean reward: 6.6875, 	Mean reward done: 1.2731025218963623
Step: 90112	Mean reward: 7.0, 	Mean reward done: 1.4195114374160767
Step: 98304	Mean reward: 7.40625, 	Mean reward done: 1.5776888132095337
Step: 106496	Mean reward: 6.53125, 	Mean reward done: 1.433947205543518
Step: 114688	Mean reward: 7.5, 	Mean reward done: 1.5658230781555176
Step: 122880	Mean reward: 8.09375, 	Mean reward done: 1.6897923946380615
Step: 131072	Mean reward: 8.625, 	Mean reward done: 1.8958244323730469
Step: 139264	Mean reward: 8.78125, 	Mean reward done: 1.8886293172836304
Step: 147456	Mean reward: 8.9375, 	Mean reward done: 1.8275814056396484
Step: 155648	Mean reward: 8.375, 	Mean reward done: 1.7199658155441284
Step: 163840	Mean reward: 8.375, 	Mean reward done: 1.7571415901184082
Step: 172032	Mean reward: 9.09375, 	Mean reward done: 1.7597757577896118
Step: 180224	Mean reward: 9.25, 	Mean reward done: 1.8254294395446777
Step: 188416	Mean reward: 8.9375, 	Mean reward done: 1.7340123653411865
Step: 196608	Mean reward: 9.4375, 	Mean reward done: 1.8438732624053955
Step: 204800	Mean reward: 9.46875, 	Mean reward done: 2.0295462608337402
Step: 212992	Mean reward: 9.3125, 	Mean reward done: 1.7890101671218872
Step: 221184	Mean reward: 8.25, 	Mean reward done: 1.6926440000534058
Step: 229376	Mean reward: 8.65625, 	Mean reward done: 2.0258076190948486
Step: 237568	Mean reward: 8.875, 	Mean reward done: 1.7666683197021484
Step: 245760	Mean reward: 9.625, 	Mean reward done: 1.937334418296814
Step: 253952	Mean reward: 8.34375, 	Mean reward done: 1.5720715522766113
Step: 262144	Mean reward: 9.65625, 	Mean reward done: 2.037122964859009
Step: 270336	Mean reward: 9.25, 	Mean reward done: 2.059086322784424
Step: 278528	Mean reward: 9.8125, 	Mean reward done: 1.9179083108901978
Step: 286720	Mean reward: 9.6875, 	Mean reward done: 2.1024796962738037
Step: 294912	Mean reward: 8.9375, 	Mean reward done: 1.754462480545044
Step: 303104	Mean reward: 10.5, 	Mean reward done: 2.11016583442688
Step: 311296	Mean reward: 10.0625, 	Mean reward done: 2.0142126083374023
Step: 319488	Mean reward: 8.8125, 	Mean reward done: 1.848301887512207
Step: 327680	Mean reward: 9.65625, 	Mean reward done: 2.0242068767547607
Step: 335872	Mean reward: 8.4375, 	Mean reward done: 1.662398099899292
Step: 344064	Mean reward: 8.5, 	Mean reward done: 1.5511382818222046
Step: 352256	Mean reward: 9.1875, 	Mean reward done: 1.642899751663208
Step: 360448	Mean reward: 10.03125, 	Mean reward done: 2.087277889251709
Step: 368640	Mean reward: 8.8125, 	Mean reward done: 1.6175838708877563
Step: 376832	Mean reward: 10.3125, 	Mean reward done: 2.0405311584472656
Step: 385024	Mean reward: 10.46875, 	Mean reward done: 2.0322511196136475
Step: 393216	Mean reward: 10.46875, 	Mean reward done: 1.9064037799835205
Step: 401408	Mean reward: 9.21875, 	Mean reward done: 1.7396812438964844
Step: 409600	Mean reward: 10.9375, 	Mean reward done: 2.2925689220428467
Step: 417792	Mean reward: 9.53125, 	Mean reward done: 1.8302581310272217
Step: 425984	Mean reward: 8.84375, 	Mean reward done: 1.6505389213562012
