Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cycler>=0.10->matplotlib) (1.15.0)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Run name sd_i_na_cr
Encoder used Impala
Augumentation used none
Mixreg? False
Game coinrun
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Beware of the Impala!
Step: 8192	Mean reward: 0.625, 	Mean reward done: 0.3125
Estimated time of completion: 9.116758980477849 hours
Step: 16384	Mean reward: 2.5, 	Mean reward done: 1.25
Step: 24576	Mean reward: 1.875, 	Mean reward done: 0.8854166269302368
Step: 32768	Mean reward: 2.5, 	Mean reward done: 1.09375
Step: 40960	Mean reward: 3.75, 	Mean reward done: 1.71875
Step: 49152	Mean reward: 8.75, 	Mean reward done: 3.2864582538604736
Step: 57344	Mean reward: 9.375, 	Mean reward done: 3.1979165077209473
Step: 65536	Mean reward: 8.4375, 	Mean reward done: 2.875
Step: 73728	Mean reward: 12.5, 	Mean reward done: 3.828125
Step: 81920	Mean reward: 11.875, 	Mean reward done: 3.671875238418579
Step: 90112	Mean reward: 13.4375, 	Mean reward done: 3.6145832538604736
Step: 98304	Mean reward: 15.0, 	Mean reward done: 4.276041507720947
Step: 106496	Mean reward: 10.625, 	Mean reward done: 3.21875
Step: 114688	Mean reward: 11.875, 	Mean reward done: 3.3958334922790527
Step: 122880	Mean reward: 13.4375, 	Mean reward done: 3.843749761581421
Step: 131072	Mean reward: 17.5, 	Mean reward done: 4.302083492279053
Step: 139264	Mean reward: 20.0, 	Mean reward done: 4.795387268066406
Step: 147456	Mean reward: 18.4375, 	Mean reward done: 4.595237731933594
Step: 155648	Mean reward: 19.0625, 	Mean reward done: 4.527529239654541
Step: 163840	Mean reward: 17.1875, 	Mean reward done: 3.7206101417541504
Step: 172032	Mean reward: 19.6875, 	Mean reward done: 4.463541507720947
Step: 180224	Mean reward: 16.875, 	Mean reward done: 3.908482074737549
Step: 188416	Mean reward: 17.5, 	Mean reward done: 4.0807294845581055
Step: 196608	Mean reward: 20.0, 	Mean reward done: 4.402529716491699
Step: 204800	Mean reward: 23.125, 	Mean reward done: 4.654762268066406
Step: 212992	Mean reward: 19.0625, 	Mean reward done: 3.7213540077209473
Step: 221184	Mean reward: 24.0625, 	Mean reward done: 4.553943634033203
Step: 229376	Mean reward: 23.75, 	Mean reward done: 5.002604007720947
Step: 237568	Mean reward: 25.3125, 	Mean reward done: 4.435268402099609
Step: 245760	Mean reward: 31.875, 	Mean reward done: 5.048859119415283
Step: 253952	Mean reward: 32.8125, 	Mean reward done: 5.533853530883789
Step: 262144	Mean reward: 30.9375, 	Mean reward done: 5.3774800300598145
Step: 270336	Mean reward: 33.75, 	Mean reward done: 5.475074291229248
Step: 278528	Mean reward: 37.8125, 	Mean reward done: 6.184771537780762
Step: 286720	Mean reward: 27.5, 	Mean reward done: 4.829240798950195
Step: 294912	Mean reward: 34.0625, 	Mean reward done: 5.4005446434021
Step: 303104	Mean reward: 30.3125, 	Mean reward done: 5.670262813568115
Step: 311296	Mean reward: 35.3125, 	Mean reward done: 5.624876022338867
Step: 319488	Mean reward: 29.375, 	Mean reward done: 5.283729553222656
Step: 327680	Mean reward: 37.5, 	Mean reward done: 6.134176731109619
Step: 335872	Mean reward: 35.9375, 	Mean reward done: 6.30282735824585
Step: 344064	Mean reward: 28.4375, 	Mean reward done: 5.054315090179443
Step: 352256	Mean reward: 35.625, 	Mean reward done: 5.962922096252441
Step: 360448	Mean reward: 35.625, 	Mean reward done: 5.802950859069824
Step: 368640	Mean reward: 30.9375, 	Mean reward done: 5.527281761169434
Step: 376832	Mean reward: 28.4375, 	Mean reward done: 5.240699291229248
Step: 385024	Mean reward: 30.0, 	Mean reward done: 5.606150150299072
Step: 393216	Mean reward: 32.8125, 	Mean reward done: 5.339533805847168
Step: 401408	Mean reward: 27.8125, 	Mean reward done: 5.350818157196045
Step: 409600	Mean reward: 36.25, 	Mean reward done: 5.78397798538208
Step: 417792	Mean reward: 25.3125, 	Mean reward done: 4.853050708770752
Step: 425984	Mean reward: 35.3125, 	Mean reward done: 6.165922164916992
Step: 434176	Mean reward: 27.5, 	Mean reward done: 5.480654716491699
