Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cycler>=0.10->matplotlib) (1.15.0)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Run name sd_i_rc_db
Encoder used Impala
Augumentation used random_cutout
Mixreg? False
Game dodgeball
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Beware of the Impala!
Step: 8192	Mean reward: 3.1875, 	Mean reward done: 1.5871198177337646
Estimated time of completion: 5.6098673828980985 hours
Step: 16384	Mean reward: 1.8125, 	Mean reward done: 0.7167128324508667
Step: 24576	Mean reward: 2.5, 	Mean reward done: 0.8379461169242859
Step: 32768	Mean reward: 2.6875, 	Mean reward done: 0.8212127089500427
Step: 40960	Mean reward: 1.9375, 	Mean reward done: 0.7530868649482727
Step: 49152	Mean reward: 2.75, 	Mean reward done: 0.8613032102584839
Step: 57344	Mean reward: 4.0, 	Mean reward done: 1.5801427364349365
Step: 65536	Mean reward: 3.125, 	Mean reward done: 1.3128255605697632
Step: 73728	Mean reward: 2.875, 	Mean reward done: 1.1710840463638306
Step: 81920	Mean reward: 2.3125, 	Mean reward done: 0.8885511159896851
Step: 90112	Mean reward: 2.75, 	Mean reward done: 0.7915991544723511
Step: 98304	Mean reward: 3.125, 	Mean reward done: 1.0942507982254028
Step: 106496	Mean reward: 2.8125, 	Mean reward done: 1.0431519746780396
Step: 114688	Mean reward: 4.625, 	Mean reward done: 1.3732720613479614
Step: 122880	Mean reward: 2.8125, 	Mean reward done: 1.1062592267990112
Step: 131072	Mean reward: 2.9375, 	Mean reward done: 1.1592943668365479
Step: 139264	Mean reward: 2.5625, 	Mean reward done: 0.9276772737503052
Step: 147456	Mean reward: 3.125, 	Mean reward done: 1.0653575658798218
Step: 155648	Mean reward: 4.4375, 	Mean reward done: 1.5104820728302002
Step: 163840	Mean reward: 4.125, 	Mean reward done: 1.1421833038330078
Step: 172032	Mean reward: 3.1875, 	Mean reward done: 1.2099372148513794
Step: 180224	Mean reward: 3.5625, 	Mean reward done: 1.0975358486175537
Step: 188416	Mean reward: 3.75, 	Mean reward done: 1.6131792068481445
Step: 196608	Mean reward: 2.1875, 	Mean reward done: 0.5768672823905945
Step: 204800	Mean reward: 3.0625, 	Mean reward done: 0.9213929176330566
Step: 212992	Mean reward: 4.3125, 	Mean reward done: 1.1721402406692505
Step: 221184	Mean reward: 3.875, 	Mean reward done: 1.3064438104629517
Step: 229376	Mean reward: 4.0625, 	Mean reward done: 1.3401837348937988
Step: 237568	Mean reward: 3.375, 	Mean reward done: 1.1817162036895752
Step: 245760	Mean reward: 4.0, 	Mean reward done: 1.3274562358856201
Step: 253952	Mean reward: 3.4375, 	Mean reward done: 0.8385530114173889
Step: 262144	Mean reward: 4.0, 	Mean reward done: 1.0448415279388428
Step: 270336	Mean reward: 3.5625, 	Mean reward done: 1.1868221759796143
Step: 278528	Mean reward: 3.4375, 	Mean reward done: 1.461167573928833
Step: 286720	Mean reward: 3.875, 	Mean reward done: 1.1355596780776978
Step: 294912	Mean reward: 3.4375, 	Mean reward done: 1.2346140146255493
Step: 303104	Mean reward: 3.5625, 	Mean reward done: 1.2337919473648071
Step: 311296	Mean reward: 3.4375, 	Mean reward done: 0.9918512105941772
Step: 319488	Mean reward: 4.4375, 	Mean reward done: 1.2916077375411987
Step: 327680	Mean reward: 3.6875, 	Mean reward done: 1.0507395267486572
Step: 335872	Mean reward: 4.6875, 	Mean reward done: 1.507379412651062
Step: 344064	Mean reward: 3.875, 	Mean reward done: 1.2882126569747925
Step: 352256	Mean reward: 3.625, 	Mean reward done: 1.0242313146591187
Step: 360448	Mean reward: 2.875, 	Mean reward done: 1.1203166246414185
Step: 368640	Mean reward: 3.0625, 	Mean reward done: 0.8567661643028259
Step: 376832	Mean reward: 2.8125, 	Mean reward done: 0.7312474250793457
Step: 385024	Mean reward: 3.8125, 	Mean reward done: 1.000915765762329
Step: 393216	Mean reward: 3.6875, 	Mean reward done: 1.0863637924194336
Step: 401408	Mean reward: 3.6875, 	Mean reward done: 1.3155256509780884
Step: 409600	Mean reward: 3.1875, 	Mean reward done: 0.816830575466156
Step: 417792	Mean reward: 3.3125, 	Mean reward done: 1.0982208251953125
Step: 425984	Mean reward: 5.0625, 	Mean reward done: 1.5943524837493896
