Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cycler>=0.10->matplotlib) (1.15.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Run name sd_i_mx_sp
Encoder used Impala
Augumentation used none
Mixreg? True
Game starpilot
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Beware of the Impala!
Step: 8192	Mean reward: 5.21875, 	Mean reward done: 2.3830788135528564
Estimated time of completion: 26.426448409135144 hours
Step: 16384	Mean reward: 5.25, 	Mean reward done: 1.1977745294570923
Step: 24576	Mean reward: 5.25, 	Mean reward done: 1.2670764923095703
Step: 32768	Mean reward: 7.0, 	Mean reward done: 1.6536849737167358
Step: 40960	Mean reward: 6.8125, 	Mean reward done: 1.4710577726364136
Step: 49152	Mean reward: 7.71875, 	Mean reward done: 1.7638429403305054
Step: 57344	Mean reward: 5.78125, 	Mean reward done: 1.1133551597595215
Step: 65536	Mean reward: 7.90625, 	Mean reward done: 1.777634620666504
Step: 73728	Mean reward: 7.21875, 	Mean reward done: 1.6744989156723022
Step: 81920	Mean reward: 7.3125, 	Mean reward done: 1.5068708658218384
Step: 90112	Mean reward: 8.28125, 	Mean reward done: 1.8954484462738037
Step: 98304	Mean reward: 7.15625, 	Mean reward done: 1.5717138051986694
Step: 106496	Mean reward: 8.1875, 	Mean reward done: 1.6158068180084229
Step: 114688	Mean reward: 6.875, 	Mean reward done: 1.5519561767578125
Step: 122880	Mean reward: 7.46875, 	Mean reward done: 1.4752297401428223
Step: 131072	Mean reward: 7.625, 	Mean reward done: 1.5996980667114258
Step: 139264	Mean reward: 7.75, 	Mean reward done: 1.6371955871582031
Step: 147456	Mean reward: 7.59375, 	Mean reward done: 1.5968471765518188
Step: 155648	Mean reward: 9.0, 	Mean reward done: 1.9653348922729492
Step: 163840	Mean reward: 9.0, 	Mean reward done: 1.8090755939483643
Step: 172032	Mean reward: 9.40625, 	Mean reward done: 2.0007035732269287
Step: 180224	Mean reward: 8.65625, 	Mean reward done: 1.638615369796753
Step: 188416	Mean reward: 10.4375, 	Mean reward done: 2.274977684020996
Step: 196608	Mean reward: 10.46875, 	Mean reward done: 2.2695937156677246
Step: 204800	Mean reward: 10.59375, 	Mean reward done: 2.146684408187866
Step: 212992	Mean reward: 9.5, 	Mean reward done: 1.8418582677841187
Step: 221184	Mean reward: 12.25, 	Mean reward done: 2.6286938190460205
Step: 229376	Mean reward: 10.40625, 	Mean reward done: 2.213836193084717
Step: 237568	Mean reward: 9.8125, 	Mean reward done: 1.8371607065200806
Step: 245760	Mean reward: 10.875, 	Mean reward done: 2.398777484893799
Step: 253952	Mean reward: 9.84375, 	Mean reward done: 1.8850796222686768
Step: 262144	Mean reward: 11.25, 	Mean reward done: 2.1359710693359375
Step: 270336	Mean reward: 10.625, 	Mean reward done: 2.059465169906616
Step: 278528	Mean reward: 11.53125, 	Mean reward done: 2.2710018157958984
Step: 286720	Mean reward: 10.625, 	Mean reward done: 1.939046859741211
Step: 294912	Mean reward: 12.71875, 	Mean reward done: 2.352832317352295
Step: 303104	Mean reward: 11.28125, 	Mean reward done: 2.1439476013183594
Step: 311296	Mean reward: 11.4375, 	Mean reward done: 2.0495364665985107
Step: 319488	Mean reward: 11.0, 	Mean reward done: 1.8832807540893555
Step: 327680	Mean reward: 12.78125, 	Mean reward done: 2.3115806579589844
Step: 335872	Mean reward: 11.21875, 	Mean reward done: 2.0500857830047607
Step: 344064	Mean reward: 11.8125, 	Mean reward done: 2.098562479019165
Step: 352256	Mean reward: 12.625, 	Mean reward done: 2.2670493125915527
Step: 360448	Mean reward: 12.125, 	Mean reward done: 2.192962408065796
Step: 368640	Mean reward: 14.28125, 	Mean reward done: 2.9058496952056885
Step: 376832	Mean reward: 13.84375, 	Mean reward done: 2.5663373470306396
Step: 385024	Mean reward: 14.1875, 	Mean reward done: 2.665837287902832
Step: 393216	Mean reward: 14.0, 	Mean reward done: 2.831885814666748
Step: 401408	Mean reward: 12.40625, 	Mean reward done: 2.1086630821228027
Step: 409600	Mean reward: 13.375, 	Mean reward done: 2.536105155944824
Step: 417792	Mean reward: 15.375, 	Mean reward done: 2.8771770000457764
Step: 425984	Mean reward: 14.125, 	Mean reward done: 2.644641637802124
Step: 434176	Mean reward: 15.84375, 	Mean reward done: 2.9710137844085693
Step: 442368	Mean reward: 14.21875, 	Mean reward done: 2.5960848331451416
Step: 450560	Mean reward: 14.6875, 	Mean reward done: 2.8707382678985596
Step: 458752	Mean reward: 13.84375, 	Mean reward done: 2.5101664066314697
Step: 466944	Mean reward: 14.09375, 	Mean reward done: 2.419086217880249
Step: 475136	Mean reward: 13.09375, 	Mean reward done: 2.1579642295837402
Step: 483328	Mean reward: 15.65625, 	Mean reward done: 2.898515224456787
Step: 491520	Mean reward: 14.46875, 	Mean reward done: 2.5556247234344482
Step: 499712	Mean reward: 13.875, 	Mean reward done: 2.3464322090148926
Step: 507904	Mean reward: 15.65625, 	Mean reward done: 2.72678542137146
Step: 516096	Mean reward: 14.03125, 	Mean reward done: 2.4530882835388184
Step: 524288	Mean reward: 14.15625, 	Mean reward done: 2.5067508220672607
Step: 532480	Mean reward: 15.40625, 	Mean reward done: 2.962172746658325
Step: 540672	Mean reward: 13.96875, 	Mean reward done: 2.2335333824157715
Step: 548864	Mean reward: 14.03125, 	Mean reward done: 2.495781421661377
Step: 557056	Mean reward: 14.34375, 	Mean reward done: 2.501906156539917
Step: 565248	Mean reward: 15.09375, 	Mean reward done: 2.738827705383301
Step: 573440	Mean reward: 15.71875, 	Mean reward done: 2.609001874923706
Step: 581632	Mean reward: 15.5625, 	Mean reward done: 2.9260241985321045
Step: 589824	Mean reward: 14.90625, 	Mean reward done: 2.748659133911133
Step: 598016	Mean reward: 15.9375, 	Mean reward done: 2.9194538593292236
Step: 606208	Mean reward: 13.78125, 	Mean reward done: 2.372009754180908
Step: 614400	Mean reward: 16.59375, 	Mean reward done: 3.094290018081665
Step: 622592	Mean reward: 17.1875, 	Mean reward done: 3.3194525241851807
Step: 630784	Mean reward: 17.28125, 	Mean reward done: 3.460423707962036
Step: 638976	Mean reward: 15.625, 	Mean reward done: 2.842308759689331
Step: 647168	Mean reward: 16.03125, 	Mean reward done: 2.736220121383667
Step: 655360	Mean reward: 16.0, 	Mean reward done: 2.788789749145508
Step: 663552	Mean reward: 15.28125, 	Mean reward done: 2.9586374759674072
Step: 671744	Mean reward: 18.21875, 	Mean reward done: 3.0532655715942383
Step: 679936	Mean reward: 14.96875, 	Mean reward done: 2.484156370162964
Step: 688128	Mean reward: 16.65625, 	Mean reward done: 2.890923261642456
Step: 696320	Mean reward: 17.0, 	Mean reward done: 3.0944392681121826
Step: 704512	Mean reward: 16.53125, 	Mean reward done: 3.349268913269043
Step: 712704	Mean reward: 16.875, 	Mean reward done: 2.632049560546875
Step: 720896	Mean reward: 16.25, 	Mean reward done: 2.957113265991211
Step: 729088	Mean reward: 17.03125, 	Mean reward done: 2.896343469619751
Step: 737280	Mean reward: 16.625, 	Mean reward done: 2.639328718185425
Step: 745472	Mean reward: 18.59375, 	Mean reward done: 3.574632167816162
Step: 753664	Mean reward: 17.0625, 	Mean reward done: 3.0040860176086426
Step: 761856	Mean reward: 18.625, 	Mean reward done: 3.217700719833374
Step: 770048	Mean reward: 16.875, 	Mean reward done: 3.3341567516326904
Step: 778240	Mean reward: 17.46875, 	Mean reward done: 2.7416634559631348
Step: 786432	Mean reward: 18.21875, 	Mean reward done: 3.1776387691497803
Step: 794624	Mean reward: 19.625, 	Mean reward done: 4.203583717346191
Step: 802816	Mean reward: 19.78125, 	Mean reward done: 3.6339707374572754
Step: 811008	Mean reward: 19.53125, 	Mean reward done: 3.644411325454712
Step: 819200	Mean reward: 18.3125, 	Mean reward done: 3.4099466800689697
Step: 827392	Mean reward: 17.0, 	Mean reward done: 2.720168113708496
Step: 835584	Mean reward: 17.84375, 	Mean reward done: 3.3601033687591553
Step: 843776	Mean reward: 19.9375, 	Mean reward done: 3.801980972290039
Step: 851968	Mean reward: 18.53125, 	Mean reward done: 3.1724486351013184
Step: 860160	Mean reward: 18.125, 	Mean reward done: 3.1808037757873535
Step: 868352	Mean reward: 18.53125, 	Mean reward done: 3.153409481048584
Step: 876544	Mean reward: 18.5625, 	Mean reward done: 3.0619616508483887
Step: 884736	Mean reward: 17.90625, 	Mean reward done: 2.8223655223846436
Step: 892928	Mean reward: 17.84375, 	Mean reward done: 3.1574435234069824
Step: 901120	Mean reward: 18.03125, 	Mean reward done: 2.7908718585968018
Step: 909312	Mean reward: 17.4375, 	Mean reward done: 2.832477569580078
Step: 917504	Mean reward: 16.96875, 	Mean reward done: 2.786489486694336
Step: 925696	Mean reward: 16.71875, 	Mean reward done: 2.3217568397521973
Step: 933888	Mean reward: 18.34375, 	Mean reward done: 3.0995564460754395
Step: 942080	Mean reward: 19.03125, 	Mean reward done: 3.0169425010681152
Step: 950272	Mean reward: 17.96875, 	Mean reward done: 2.5627026557922363
Step: 958464	Mean reward: 19.59375, 	Mean reward done: 3.980344295501709
Step: 966656	Mean reward: 20.0, 	Mean reward done: 3.3924596309661865
Step: 974848	Mean reward: 17.8125, 	Mean reward done: 2.7851836681365967
Step: 983040	Mean reward: 19.25, 	Mean reward done: 3.300686836242676
Step: 991232	Mean reward: 19.0625, 	Mean reward done: 3.1635701656341553
Step: 999424	Mean reward: 20.59375, 	Mean reward done: 4.214556694030762
Step: 1007616	Mean reward: 19.21875, 	Mean reward done: 3.0806891918182373
Step: 1015808	Mean reward: 19.03125, 	Mean reward done: 3.021911382675171
Step: 1024000	Mean reward: 20.65625, 	Mean reward done: 3.608445644378662
Step: 1032192	Mean reward: 18.78125, 	Mean reward done: 3.2664406299591064
Step: 1040384	Mean reward: 19.5, 	Mean reward done: 3.4544782638549805
Step: 1048576	Mean reward: 20.6875, 	Mean reward done: 3.8209075927734375
Step: 1056768	Mean reward: 18.03125, 	Mean reward done: 2.6236214637756348
Step: 1064960	Mean reward: 17.875, 	Mean reward done: 2.791335105895996
Step: 1073152	Mean reward: 19.78125, 	Mean reward done: 3.7064452171325684
Step: 1081344	Mean reward: 19.125, 	Mean reward done: 2.951460838317871
Step: 1089536	Mean reward: 17.0625, 	Mean reward done: 2.7684452533721924
Step: 1097728	Mean reward: 18.46875, 	Mean reward done: 3.0553598403930664
Step: 1105920	Mean reward: 19.0625, 	Mean reward done: 3.3832578659057617
Step: 1114112	Mean reward: 19.40625, 	Mean reward done: 3.6136322021484375
Step: 1122304	Mean reward: 19.28125, 	Mean reward done: 3.4167675971984863
Step: 1130496	Mean reward: 19.40625, 	Mean reward done: 3.1314291954040527
Step: 1138688	Mean reward: 19.84375, 	Mean reward done: 3.5810530185699463
Step: 1146880	Mean reward: 18.8125, 	Mean reward done: 3.225334644317627
Step: 1155072	Mean reward: 17.84375, 	Mean reward done: 2.778534412384033
Step: 1163264	Mean reward: 20.59375, 	Mean reward done: 4.383922100067139
Step: 1171456	Mean reward: 17.0, 	Mean reward done: 3.0672616958618164
Step: 1179648	Mean reward: 19.53125, 	Mean reward done: 3.143092393875122
Step: 1187840	Mean reward: 17.96875, 	Mean reward done: 2.8529746532440186
Step: 1196032	Mean reward: 17.875, 	Mean reward done: 3.0915863513946533
Step: 1204224	Mean reward: 17.78125, 	Mean reward done: 2.627410650253296
Step: 1212416	Mean reward: 19.1875, 	Mean reward done: 3.011110544204712
Step: 1220608	Mean reward: 18.90625, 	Mean reward done: 3.2389755249023438
Step: 1228800	Mean reward: 18.40625, 	Mean reward done: 2.798072338104248
Step: 1236992	Mean reward: 17.59375, 	Mean reward done: 2.8747246265411377
Step: 1245184	Mean reward: 18.1875, 	Mean reward done: 2.8666136264801025
Step: 1253376	Mean reward: 20.1875, 	Mean reward done: 3.635449171066284
Step: 1261568	Mean reward: 18.1875, 	Mean reward done: 2.869926929473877
Step: 1269760	Mean reward: 19.09375, 	Mean reward done: 3.074617385864258
Step: 1277952	Mean reward: 18.8125, 	Mean reward done: 3.238541841506958
Step: 1286144	Mean reward: 18.75, 	Mean reward done: 2.6561262607574463
Step: 1294336	Mean reward: 19.3125, 	Mean reward done: 3.654738426208496
