Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cycler>=0.10->matplotlib) (1.15.0)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Run name sd_n_mx_sp
Encoder used Nature
Augumentation used none
Mixreg? True
Game starpilot
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Embrace Nature!
Step: 8192	Mean reward: 5.28125, 	Mean reward done: 2.391955614089966
Estimated time of completion: 7.371493912715879 hours
Step: 16384	Mean reward: 5.09375, 	Mean reward done: 1.1994726657867432
Step: 24576	Mean reward: 4.21875, 	Mean reward done: 1.0262526273727417
Step: 32768	Mean reward: 6.84375, 	Mean reward done: 1.6010799407958984
Step: 40960	Mean reward: 6.90625, 	Mean reward done: 1.5851702690124512
Step: 49152	Mean reward: 5.875, 	Mean reward done: 1.4236100912094116
Step: 57344	Mean reward: 5.9375, 	Mean reward done: 1.4574906826019287
Step: 65536	Mean reward: 7.15625, 	Mean reward done: 1.78263258934021
Step: 73728	Mean reward: 7.625, 	Mean reward done: 1.7497655153274536
Step: 81920	Mean reward: 6.375, 	Mean reward done: 1.457890272140503
Step: 90112	Mean reward: 6.4375, 	Mean reward done: 1.349962592124939
Step: 98304	Mean reward: 7.25, 	Mean reward done: 1.4941067695617676
Step: 106496	Mean reward: 6.03125, 	Mean reward done: 1.2332258224487305
Step: 114688	Mean reward: 6.625, 	Mean reward done: 1.5885980129241943
Step: 122880	Mean reward: 7.96875, 	Mean reward done: 1.818145751953125
Step: 131072	Mean reward: 6.46875, 	Mean reward done: 1.482609748840332
Step: 139264	Mean reward: 5.875, 	Mean reward done: 1.2920761108398438
Step: 147456	Mean reward: 7.78125, 	Mean reward done: 1.7366528511047363
Step: 155648	Mean reward: 7.5625, 	Mean reward done: 1.6469590663909912
Step: 163840	Mean reward: 8.34375, 	Mean reward done: 1.916386365890503
Step: 172032	Mean reward: 8.21875, 	Mean reward done: 1.929173469543457
Step: 180224	Mean reward: 6.84375, 	Mean reward done: 1.4631906747817993
Step: 188416	Mean reward: 8.625, 	Mean reward done: 1.965240478515625
Step: 196608	Mean reward: 6.8125, 	Mean reward done: 1.4296162128448486
Step: 204800	Mean reward: 6.75, 	Mean reward done: 1.3954037427902222
Step: 212992	Mean reward: 7.71875, 	Mean reward done: 1.7068113088607788
Step: 221184	Mean reward: 6.8125, 	Mean reward done: 1.3499765396118164
Step: 229376	Mean reward: 8.25, 	Mean reward done: 1.9474284648895264
Step: 237568	Mean reward: 8.09375, 	Mean reward done: 1.7407513856887817
Step: 245760	Mean reward: 8.28125, 	Mean reward done: 1.8791751861572266
Step: 253952	Mean reward: 7.625, 	Mean reward done: 1.6147862672805786
Step: 262144	Mean reward: 8.875, 	Mean reward done: 1.8015462160110474
Step: 270336	Mean reward: 7.90625, 	Mean reward done: 1.746995210647583
Step: 278528	Mean reward: 8.65625, 	Mean reward done: 1.962125301361084
Step: 286720	Mean reward: 6.90625, 	Mean reward done: 1.5944209098815918
Step: 294912	Mean reward: 7.6875, 	Mean reward done: 1.8926620483398438
Step: 303104	Mean reward: 8.125, 	Mean reward done: 1.7934417724609375
Step: 311296	Mean reward: 7.5625, 	Mean reward done: 1.567762851715088
Step: 319488	Mean reward: 8.34375, 	Mean reward done: 1.80990469455719
Step: 327680	Mean reward: 7.53125, 	Mean reward done: 1.572213053703308
Step: 335872	Mean reward: 9.40625, 	Mean reward done: 2.122872829437256
Step: 344064	Mean reward: 9.34375, 	Mean reward done: 1.9639990329742432
Step: 352256	Mean reward: 9.03125, 	Mean reward done: 2.0391621589660645
Step: 360448	Mean reward: 8.5, 	Mean reward done: 1.7981417179107666
Step: 368640	Mean reward: 9.15625, 	Mean reward done: 2.2043564319610596
Step: 376832	Mean reward: 9.5625, 	Mean reward done: 1.954853892326355
Step: 385024	Mean reward: 9.0625, 	Mean reward done: 1.9136279821395874
Step: 393216	Mean reward: 8.5, 	Mean reward done: 1.6381043195724487
Step: 401408	Mean reward: 8.28125, 	Mean reward done: 1.7589608430862427
Step: 409600	Mean reward: 7.4375, 	Mean reward done: 1.993909239768982
Step: 417792	Mean reward: 9.34375, 	Mean reward done: 2.1029443740844727
Step: 425984	Mean reward: 9.4375, 	Mean reward done: 1.9643117189407349
Step: 434176	Mean reward: 8.46875, 	Mean reward done: 1.770105004310608
Step: 442368	Mean reward: 9.03125, 	Mean reward done: 1.8722009658813477
Step: 450560	Mean reward: 7.40625, 	Mean reward done: 1.4271372556686401
Step: 458752	Mean reward: 9.34375, 	Mean reward done: 2.111377716064453
Step: 466944	Mean reward: 9.0, 	Mean reward done: 1.8721762895584106
Step: 475136	Mean reward: 10.53125, 	Mean reward done: 2.5077176094055176
Step: 483328	Mean reward: 8.0, 	Mean reward done: 1.652722716331482
Step: 491520	Mean reward: 9.84375, 	Mean reward done: 2.0155038833618164
Step: 499712	Mean reward: 9.75, 	Mean reward done: 2.041208267211914
