Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cycler>=0.10->matplotlib) (1.15.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Run name sd_n_na_sp
Encoder used Nature
Augumentation used none
Mixreg? False
Game starpilot
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Embrace Nature!
Step: 8192	Mean reward: 5.28125, 	Mean reward done: 2.391955614089966
Estimated time of completion: 3.393151758549114 hours
Step: 16384	Mean reward: 5.46875, 	Mean reward done: 1.2678921222686768
Step: 24576	Mean reward: 4.25, 	Mean reward done: 0.965252697467804
Step: 32768	Mean reward: 6.625, 	Mean reward done: 1.6713491678237915
Step: 40960	Mean reward: 6.625, 	Mean reward done: 1.603029727935791
Step: 49152	Mean reward: 6.4375, 	Mean reward done: 1.4736354351043701
Step: 57344	Mean reward: 5.84375, 	Mean reward done: 1.3213311433792114
Step: 65536	Mean reward: 7.4375, 	Mean reward done: 1.9437203407287598
Step: 73728	Mean reward: 7.28125, 	Mean reward done: 1.6531078815460205
Step: 81920	Mean reward: 7.90625, 	Mean reward done: 1.995417594909668
Step: 90112	Mean reward: 8.0625, 	Mean reward done: 1.7195955514907837
Step: 98304	Mean reward: 6.6875, 	Mean reward done: 1.4305347204208374
Step: 106496	Mean reward: 8.0, 	Mean reward done: 1.763901948928833
Step: 114688	Mean reward: 7.625, 	Mean reward done: 1.5901442766189575
Step: 122880	Mean reward: 7.78125, 	Mean reward done: 1.6483315229415894
Step: 131072	Mean reward: 8.5, 	Mean reward done: 1.7705037593841553
Step: 139264	Mean reward: 8.09375, 	Mean reward done: 1.7504819631576538
Step: 147456	Mean reward: 9.0, 	Mean reward done: 1.9750301837921143
Step: 155648	Mean reward: 8.65625, 	Mean reward done: 1.8845386505126953
Step: 163840	Mean reward: 8.625, 	Mean reward done: 1.8605587482452393
Step: 172032	Mean reward: 9.375, 	Mean reward done: 1.885668396949768
Step: 180224	Mean reward: 8.0625, 	Mean reward done: 1.7377891540527344
Step: 188416	Mean reward: 9.71875, 	Mean reward done: 1.9993016719818115
Step: 196608	Mean reward: 9.5, 	Mean reward done: 2.026224136352539
Step: 204800	Mean reward: 9.875, 	Mean reward done: 2.1001617908477783
Step: 212992	Mean reward: 9.6875, 	Mean reward done: 1.9699960947036743
Step: 221184	Mean reward: 9.53125, 	Mean reward done: 1.8915764093399048
Step: 229376	Mean reward: 8.59375, 	Mean reward done: 1.6571143865585327
Step: 237568	Mean reward: 9.21875, 	Mean reward done: 1.8210458755493164
Step: 245760	Mean reward: 9.75, 	Mean reward done: 2.1514651775360107
Step: 253952	Mean reward: 9.03125, 	Mean reward done: 1.8179199695587158
Step: 262144	Mean reward: 9.1875, 	Mean reward done: 1.7407214641571045
Step: 270336	Mean reward: 9.59375, 	Mean reward done: 1.8713668584823608
Step: 278528	Mean reward: 9.5625, 	Mean reward done: 1.832413911819458
Step: 286720	Mean reward: 9.625, 	Mean reward done: 1.8288147449493408
Step: 294912	Mean reward: 9.53125, 	Mean reward done: 1.858069896697998
Step: 303104	Mean reward: 10.46875, 	Mean reward done: 2.157637357711792
Step: 311296	Mean reward: 11.40625, 	Mean reward done: 2.2358052730560303
Step: 319488	Mean reward: 9.0625, 	Mean reward done: 1.7594581842422485
Step: 327680	Mean reward: 10.09375, 	Mean reward done: 1.927889347076416
Step: 335872	Mean reward: 10.15625, 	Mean reward done: 1.8896211385726929
Step: 344064	Mean reward: 9.78125, 	Mean reward done: 1.8397681713104248
Step: 352256	Mean reward: 9.53125, 	Mean reward done: 1.6738719940185547
Step: 360448	Mean reward: 11.1875, 	Mean reward done: 2.2870943546295166
Step: 368640	Mean reward: 9.375, 	Mean reward done: 1.7235158681869507
Step: 376832	Mean reward: 9.90625, 	Mean reward done: 1.7932193279266357
Step: 385024	Mean reward: 10.375, 	Mean reward done: 1.992707371711731
Step: 393216	Mean reward: 9.84375, 	Mean reward done: 1.8398427963256836
Step: 401408	Mean reward: 12.3125, 	Mean reward done: 2.464771032333374
Step: 409600	Mean reward: 10.53125, 	Mean reward done: 1.9943681955337524
Step: 417792	Mean reward: 10.9375, 	Mean reward done: 2.0692484378814697
Step: 425984	Mean reward: 10.28125, 	Mean reward done: 1.9997339248657227
