Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cycler>=0.10->matplotlib) (1.15.0)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Run name sd_i_na_cr
Encoder used Impala
Augumentation used none
Mixreg? False
Game coinrun
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Beware of the Impala!
Step: 8192	Mean reward: 0.625, 	Mean reward done: 0.3125
Estimated time of completion: 8.95375353542881 hours
Step: 16384	Mean reward: 2.1875, 	Mean reward done: 1.09375
Step: 24576	Mean reward: 2.5, 	Mean reward done: 1.09375
Step: 32768	Mean reward: 4.0625, 	Mean reward done: 1.875
Step: 40960	Mean reward: 6.5625, 	Mean reward done: 2.5520832538604736
Step: 49152	Mean reward: 10.0, 	Mean reward done: 3.2291667461395264
Step: 57344	Mean reward: 14.375, 	Mean reward done: 3.965029716491699
Step: 65536	Mean reward: 15.3125, 	Mean reward done: 4.541666507720947
Step: 73728	Mean reward: 17.1875, 	Mean reward done: 4.2864580154418945
Step: 81920	Mean reward: 17.1875, 	Mean reward done: 4.03125
Step: 90112	Mean reward: 17.8125, 	Mean reward done: 4.215029716491699
Step: 98304	Mean reward: 20.0, 	Mean reward done: 4.3125
Step: 106496	Mean reward: 25.9375, 	Mean reward done: 5.322916507720947
Step: 114688	Mean reward: 22.1875, 	Mean reward done: 4.783854007720947
Step: 122880	Mean reward: 23.75, 	Mean reward done: 4.9441962242126465
Step: 131072	Mean reward: 23.125, 	Mean reward done: 4.960193634033203
Step: 139264	Mean reward: 24.6875, 	Mean reward done: 4.867931842803955
Step: 147456	Mean reward: 26.5625, 	Mean reward done: 4.895089626312256
Step: 155648	Mean reward: 33.75, 	Mean reward done: 5.150173187255859
Step: 163840	Mean reward: 28.125, 	Mean reward done: 4.936756134033203
Step: 172032	Mean reward: 26.875, 	Mean reward done: 5.082961082458496
Step: 180224	Mean reward: 29.6875, 	Mean reward done: 5.257564544677734
Step: 188416	Mean reward: 37.8125, 	Mean reward done: 5.68154764175415
Step: 196608	Mean reward: 30.3125, 	Mean reward done: 5.269345283508301
Step: 204800	Mean reward: 32.5, 	Mean reward done: 5.699405193328857
Step: 212992	Mean reward: 28.75, 	Mean reward done: 5.2686004638671875
Step: 221184	Mean reward: 30.3125, 	Mean reward done: 5.462425708770752
Step: 229376	Mean reward: 31.25, 	Mean reward done: 5.418030261993408
Step: 237568	Mean reward: 29.6875, 	Mean reward done: 4.860863208770752
Step: 245760	Mean reward: 33.4375, 	Mean reward done: 5.791543006896973
Step: 253952	Mean reward: 31.5625, 	Mean reward done: 5.394717216491699
Step: 262144	Mean reward: 31.875, 	Mean reward done: 5.195312023162842
Step: 270336	Mean reward: 39.0625, 	Mean reward done: 6.048734664916992
Step: 278528	Mean reward: 34.375, 	Mean reward done: 5.875371932983398
Step: 286720	Mean reward: 37.5, 	Mean reward done: 6.230159282684326
Step: 294912	Mean reward: 33.75, 	Mean reward done: 5.1015625
Step: 303104	Mean reward: 35.9375, 	Mean reward done: 5.837922096252441
Step: 311296	Mean reward: 35.3125, 	Mean reward done: 5.992930889129639
Step: 319488	Mean reward: 28.75, 	Mean reward done: 5.260044574737549
Step: 327680	Mean reward: 36.875, 	Mean reward done: 6.303695201873779
Step: 335872	Mean reward: 33.4375, 	Mean reward done: 6.013889312744141
Step: 344064	Mean reward: 30.3125, 	Mean reward done: 5.577381134033203
Step: 352256	Mean reward: 31.875, 	Mean reward done: 5.571305274963379
Step: 360448	Mean reward: 40.625, 	Mean reward done: 6.643228054046631
Step: 368640	Mean reward: 41.22715759277344, 	Mean reward done: 6.592972755432129
Step: 376832	Mean reward: 41.03053665161133, 	Mean reward done: 6.655811786651611
Step: 385024	Mean reward: 40.47261047363281, 	Mean reward done: 6.756854057312012
Step: 393216	Mean reward: 35.060218811035156, 	Mean reward done: 6.090716361999512
Step: 401408	Mean reward: 37.68287658691406, 	Mean reward done: 5.995254993438721
Step: 409600	Mean reward: 36.28752517700195, 	Mean reward done: 6.339282035827637
Step: 417792	Mean reward: 40.08648681640625, 	Mean reward done: 6.268517971038818
Step: 425984	Mean reward: 31.78757095336914, 	Mean reward done: 5.52873420715332
