Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cycler>=0.10->matplotlib) (1.15.0)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Run name sd_i_rc_db
Encoder used Impala
Augumentation used random_cutout
Mixreg? False
Game dodgeball
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Beware of the Impala!
Step: 8192	Mean reward: 5.637467384338379, 	Mean reward done: 1.5871198177337646
Estimated time of completion: 5.0547742284834385 hours
Step: 16384	Mean reward: 3.2528746128082275, 	Mean reward done: 0.9757751822471619
Step: 24576	Mean reward: 3.254855155944824, 	Mean reward done: 0.8037800788879395
Step: 32768	Mean reward: 3.861231565475464, 	Mean reward done: 1.0069092512130737
Step: 40960	Mean reward: 3.495206832885742, 	Mean reward done: 0.9587522745132446
Step: 49152	Mean reward: 3.171386480331421, 	Mean reward done: 1.0086573362350464
Step: 57344	Mean reward: 3.398151159286499, 	Mean reward done: 0.9653028249740601
Step: 65536	Mean reward: 3.809372901916504, 	Mean reward done: 1.0549030303955078
Step: 73728	Mean reward: 3.3889670372009277, 	Mean reward done: 0.8021543025970459
Step: 81920	Mean reward: 3.455447196960449, 	Mean reward done: 1.0256190299987793
Step: 90112	Mean reward: 3.5032365322113037, 	Mean reward done: 0.9252375364303589
Step: 98304	Mean reward: 3.8140459060668945, 	Mean reward done: 1.188206672668457
Step: 106496	Mean reward: 2.9532053470611572, 	Mean reward done: 0.8164528012275696
Step: 114688	Mean reward: 3.7171921730041504, 	Mean reward done: 1.2741849422454834
Step: 122880	Mean reward: 3.5501413345336914, 	Mean reward done: 1.0999239683151245
Step: 131072	Mean reward: 2.633511543273926, 	Mean reward done: 0.7585834264755249
Step: 139264	Mean reward: 4.536943435668945, 	Mean reward done: 1.545238733291626
Step: 147456	Mean reward: 3.5146501064300537, 	Mean reward done: 0.9553692936897278
Step: 155648	Mean reward: 3.1277499198913574, 	Mean reward done: 0.9329546689987183
Step: 163840	Mean reward: 4.386136054992676, 	Mean reward done: 1.3066632747650146
Step: 172032	Mean reward: 3.6093862056732178, 	Mean reward done: 0.942574143409729
Step: 180224	Mean reward: 3.0961337089538574, 	Mean reward done: 0.7036920785903931
Step: 188416	Mean reward: 3.677565097808838, 	Mean reward done: 0.9983185529708862
Step: 196608	Mean reward: 3.0867624282836914, 	Mean reward done: 0.9949090480804443
Step: 204800	Mean reward: 3.007262945175171, 	Mean reward done: 0.7778009176254272
Step: 212992	Mean reward: 4.167654037475586, 	Mean reward done: 1.2330374717712402
Step: 221184	Mean reward: 3.4918465614318848, 	Mean reward done: 0.9563682675361633
Step: 229376	Mean reward: 2.469841241836548, 	Mean reward done: 0.72263103723526
Step: 237568	Mean reward: 1.6788349151611328, 	Mean reward done: 0.8016968965530396
Step: 245760	Mean reward: 1.9110653400421143, 	Mean reward done: 0.6265043616294861
Step: 253952	Mean reward: 3.6127326488494873, 	Mean reward done: 0.9213455319404602
Step: 262144	Mean reward: 3.2451565265655518, 	Mean reward done: 1.0035157203674316
Step: 270336	Mean reward: 2.7328834533691406, 	Mean reward done: 1.1436158418655396
Step: 278528	Mean reward: 2.952850103378296, 	Mean reward done: 1.0040661096572876
Step: 286720	Mean reward: 3.3923609256744385, 	Mean reward done: 1.3718366622924805
Step: 294912	Mean reward: 3.0901522636413574, 	Mean reward done: 0.9996529817581177
Step: 303104	Mean reward: 3.6107678413391113, 	Mean reward done: 0.9567198753356934
Step: 311296	Mean reward: 3.5283358097076416, 	Mean reward done: 1.223960518836975
Step: 319488	Mean reward: 3.834887742996216, 	Mean reward done: 1.2009682655334473
Step: 327680	Mean reward: 4.619773864746094, 	Mean reward done: 1.3407905101776123
Step: 335872	Mean reward: 5.167049884796143, 	Mean reward done: 1.3283697366714478
Step: 344064	Mean reward: 3.0489745140075684, 	Mean reward done: 1.008592963218689
Step: 352256	Mean reward: 3.9814674854278564, 	Mean reward done: 1.1931062936782837
Step: 360448	Mean reward: 4.3525071144104, 	Mean reward done: 1.2878443002700806
Step: 368640	Mean reward: 4.238374710083008, 	Mean reward done: 1.1604617834091187
Step: 376832	Mean reward: 2.365823745727539, 	Mean reward done: 0.732195258140564
Step: 385024	Mean reward: 3.020101308822632, 	Mean reward done: 1.0089054107666016
