Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six>=1.5 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from python-dateutil>=2.1->matplotlib) (1.15.0)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Run name sd_n_na_db
Encoder used Nature
Augumentation used none
Mixreg? False
Game dodgeball
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Embrace Nature!
Step: 8192	Mean reward: 5.641833782196045, 	Mean reward done: 1.5912986993789673
Estimated time of completion: 4.05978404968563 hours
Step: 16384	Mean reward: 3.080838680267334, 	Mean reward done: 0.7997640371322632
Step: 24576	Mean reward: 3.3222155570983887, 	Mean reward done: 0.8258770704269409
Step: 32768	Mean reward: 3.171546220779419, 	Mean reward done: 0.8212708234786987
Step: 40960	Mean reward: 3.5566723346710205, 	Mean reward done: 1.029353141784668
Step: 49152	Mean reward: 3.357300281524658, 	Mean reward done: 1.0153429508209229
Step: 57344	Mean reward: 4.213134765625, 	Mean reward done: 1.3051587343215942
Step: 65536	Mean reward: 4.811954498291016, 	Mean reward done: 1.6053681373596191
Step: 73728	Mean reward: 3.978968858718872, 	Mean reward done: 1.5176656246185303
Step: 81920	Mean reward: 3.669445753097534, 	Mean reward done: 1.0548980236053467
Step: 90112	Mean reward: 4.138383865356445, 	Mean reward done: 1.5162969827651978
Step: 98304	Mean reward: 3.974557399749756, 	Mean reward done: 1.1772031784057617
Step: 106496	Mean reward: 3.535153865814209, 	Mean reward done: 1.0078352689743042
Step: 114688	Mean reward: 5.005953788757324, 	Mean reward done: 1.6607531309127808
Step: 122880	Mean reward: 3.6643214225769043, 	Mean reward done: 1.0975044965744019
Step: 131072	Mean reward: 4.016287803649902, 	Mean reward done: 0.9949119091033936
Step: 139264	Mean reward: 4.848706245422363, 	Mean reward done: 1.1241949796676636
Step: 147456	Mean reward: 4.481093406677246, 	Mean reward done: 1.4437015056610107
Step: 155648	Mean reward: 2.2718794345855713, 	Mean reward done: 0.6662575006484985
Step: 163840	Mean reward: 3.968984842300415, 	Mean reward done: 1.20455002784729
Step: 172032	Mean reward: 2.957092523574829, 	Mean reward done: 1.1406327486038208
Step: 180224	Mean reward: 3.853001117706299, 	Mean reward done: 1.0298361778259277
Step: 188416	Mean reward: 4.733918190002441, 	Mean reward done: 1.2847152948379517
Step: 196608	Mean reward: 4.153192520141602, 	Mean reward done: 1.5409111976623535
Step: 204800	Mean reward: 4.356496334075928, 	Mean reward done: 1.1987237930297852
Step: 212992	Mean reward: 4.147729396820068, 	Mean reward done: 1.0821868181228638
Step: 221184	Mean reward: 5.477344036102295, 	Mean reward done: 1.6247502565383911
Step: 229376	Mean reward: 4.023453712463379, 	Mean reward done: 1.0352507829666138
Step: 237568	Mean reward: 3.963412046432495, 	Mean reward done: 1.2310817241668701
Step: 245760	Mean reward: 4.59268856048584, 	Mean reward done: 1.6187480688095093
Step: 253952	Mean reward: 4.188727378845215, 	Mean reward done: 1.5841779708862305
Step: 262144	Mean reward: 3.5757837295532227, 	Mean reward done: 1.0744295120239258
Step: 270336	Mean reward: 3.0415778160095215, 	Mean reward done: 0.8564306497573853
Step: 278528	Mean reward: 4.932990074157715, 	Mean reward done: 1.4559094905853271
Step: 286720	Mean reward: 4.077481269836426, 	Mean reward done: 1.1031990051269531
Step: 294912	Mean reward: 2.9588305950164795, 	Mean reward done: 1.2131050825119019
Step: 303104	Mean reward: 3.274346113204956, 	Mean reward done: 1.0493268966674805
Step: 311296	Mean reward: 2.8289568424224854, 	Mean reward done: 1.1143829822540283
Step: 319488	Mean reward: 4.085066318511963, 	Mean reward done: 1.0211772918701172
Step: 327680	Mean reward: 3.651702404022217, 	Mean reward done: 1.0211114883422852
Step: 335872	Mean reward: 4.124306678771973, 	Mean reward done: 1.2421579360961914
Step: 344064	Mean reward: 3.595109462738037, 	Mean reward done: 1.0519335269927979
Step: 352256	Mean reward: 4.515321254730225, 	Mean reward done: 1.2068380117416382
Step: 360448	Mean reward: 3.849642276763916, 	Mean reward done: 1.1870317459106445
Step: 368640	Mean reward: 4.74058198928833, 	Mean reward done: 1.5364744663238525
Step: 376832	Mean reward: 2.8030850887298584, 	Mean reward done: 1.1276302337646484
Step: 385024	Mean reward: 3.859867811203003, 	Mean reward done: 1.1622352600097656
