Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six>=1.5 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from python-dateutil>=2.1->matplotlib) (1.15.0)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Run name sd_i_rc_sp
Encoder used Impala
Augumentation used random_cutout
Mixreg? False
Game starpilot
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Beware of the Impala!
Step: 8192	Mean reward: 8.384988784790039, 	Mean reward done: 2.383082866668701
Estimated time of completion: 4.234001583730181 hours
Step: 16384	Mean reward: 5.620763778686523, 	Mean reward done: 1.5127979516983032
Step: 24576	Mean reward: 5.3568034172058105, 	Mean reward done: 1.3183515071868896
Step: 32768	Mean reward: 5.667281627655029, 	Mean reward done: 1.6254703998565674
Step: 40960	Mean reward: 5.807281970977783, 	Mean reward done: 1.4560579061508179
Step: 49152	Mean reward: 6.66579532623291, 	Mean reward done: 1.900202989578247
Step: 57344	Mean reward: 5.676643371582031, 	Mean reward done: 1.7385733127593994
Step: 65536	Mean reward: 6.537851333618164, 	Mean reward done: 1.8636674880981445
Step: 73728	Mean reward: 5.680171966552734, 	Mean reward done: 1.7290143966674805
Step: 81920	Mean reward: 6.530365467071533, 	Mean reward done: 1.956477403640747
Step: 90112	Mean reward: 6.550601959228516, 	Mean reward done: 1.9589784145355225
Step: 98304	Mean reward: 6.2820210456848145, 	Mean reward done: 1.912024974822998
Step: 106496	Mean reward: 5.790000915527344, 	Mean reward done: 1.6933244466781616
Step: 114688	Mean reward: 6.101167678833008, 	Mean reward done: 1.9525699615478516
Step: 122880	Mean reward: 6.330747127532959, 	Mean reward done: 1.8523235321044922
Step: 131072	Mean reward: 7.476860046386719, 	Mean reward done: 2.2875101566314697
Step: 139264	Mean reward: 6.560649871826172, 	Mean reward done: 2.0974602699279785
Step: 147456	Mean reward: 6.8962907791137695, 	Mean reward done: 2.16266131401062
Step: 155648	Mean reward: 7.06259822845459, 	Mean reward done: 2.2108421325683594
Step: 163840	Mean reward: 7.358795166015625, 	Mean reward done: 2.4602179527282715
Step: 172032	Mean reward: 6.470030784606934, 	Mean reward done: 2.0450525283813477
Step: 180224	Mean reward: 7.631387233734131, 	Mean reward done: 2.343592405319214
Step: 188416	Mean reward: 6.482064723968506, 	Mean reward done: 1.9567596912384033
Step: 196608	Mean reward: 7.965036392211914, 	Mean reward done: 2.681537628173828
Step: 204800	Mean reward: 6.3963775634765625, 	Mean reward done: 2.0487751960754395
Step: 212992	Mean reward: 7.591721534729004, 	Mean reward done: 2.7036235332489014
Step: 221184	Mean reward: 7.264861106872559, 	Mean reward done: 2.179938793182373
Step: 229376	Mean reward: 7.07462215423584, 	Mean reward done: 2.499995708465576
Step: 237568	Mean reward: 6.976983547210693, 	Mean reward done: 2.3034393787384033
Step: 245760	Mean reward: 6.256410121917725, 	Mean reward done: 2.0936286449432373
Step: 253952	Mean reward: 7.206521034240723, 	Mean reward done: 2.5676681995391846
Step: 262144	Mean reward: 7.011879920959473, 	Mean reward done: 2.422081470489502
Step: 270336	Mean reward: 6.721808433532715, 	Mean reward done: 2.119990587234497
Step: 278528	Mean reward: 7.656060218811035, 	Mean reward done: 2.7499806880950928
Step: 286720	Mean reward: 7.2108588218688965, 	Mean reward done: 2.5836822986602783
Step: 294912	Mean reward: 6.8608880043029785, 	Mean reward done: 2.4818131923675537
Step: 303104	Mean reward: 7.406683921813965, 	Mean reward done: 2.7590508460998535
Step: 311296	Mean reward: 6.620711326599121, 	Mean reward done: 2.5914998054504395
Step: 319488	Mean reward: 6.940946102142334, 	Mean reward done: 2.477128028869629
Step: 327680	Mean reward: 6.163705825805664, 	Mean reward done: 2.042729616165161
Step: 335872	Mean reward: 7.364253044128418, 	Mean reward done: 2.6478166580200195
Step: 344064	Mean reward: 7.132476329803467, 	Mean reward done: 2.613407850265503
Step: 352256	Mean reward: 6.934829235076904, 	Mean reward done: 2.4889719486236572
Step: 360448	Mean reward: 6.634830474853516, 	Mean reward done: 2.1894242763519287
Step: 368640	Mean reward: 6.66233491897583, 	Mean reward done: 2.447706699371338
Step: 376832	Mean reward: 6.3925018310546875, 	Mean reward done: 2.1031339168548584
Step: 385024	Mean reward: 7.090442180633545, 	Mean reward done: 2.6274006366729736
Step: 393216	Mean reward: 6.681417942047119, 	Mean reward done: 2.3277204036712646
