Requirement already satisfied: torch in /zhome/09/9/144141/.local/lib/python3.8/site-packages (1.7.0)
Requirement already satisfied: matplotlib in /zhome/09/9/144141/.local/lib/python3.8/site-packages (3.3.3)
Requirement already satisfied: procgen in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.10.4)
Requirement already satisfied: gym in /zhome/09/9/144141/.local/lib/python3.8/site-packages (0.17.3)
Requirement already satisfied: numpy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (1.19.4)
Requirement already satisfied: typing-extensions in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (3.7.4.3)
Requirement already satisfied: dataclasses in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.6)
Requirement already satisfied: future in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from torch) (0.18.2)
Requirement already satisfied: pyparsing!=2.0.4,!=2.1.2,!=2.1.6,>=2.0.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.4.7)
Requirement already satisfied: pillow>=6.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (8.0.1)
Requirement already satisfied: python-dateutil>=2.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (2.8.1)
Requirement already satisfied: kiwisolver>=1.0.1 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (1.3.1)
Requirement already satisfied: cycler>=0.10 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from matplotlib) (0.10.0)
Requirement already satisfied: filelock<4.0.0,>=3.0.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (3.0.12)
Requirement already satisfied: gym3<1.0.0,>=0.3.3 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from procgen) (0.3.3)
Requirement already satisfied: scipy in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.4)
Requirement already satisfied: pyglet<=1.5.0,>=1.4.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.5.0)
Requirement already satisfied: cloudpickle<1.7.0,>=1.2.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym) (1.6.0)
Requirement already satisfied: six>=1.5 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from python-dateutil>=2.1->matplotlib) (1.15.0)
Requirement already satisfied: cffi<2.0.0,>=1.13.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.14.4)
Requirement already satisfied: moderngl<6.0.0,>=5.5.4 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (5.6.2)
Requirement already satisfied: imageio<3.0.0,>=2.6.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (2.9.0)
Requirement already satisfied: imageio-ffmpeg<0.4.0,>=0.3.0 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (0.3.0)
Requirement already satisfied: glfw<2.0.0,>=1.8.6 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from gym3<1.0.0,>=0.3.3->procgen) (1.12.0)
Requirement already satisfied: pycparser in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from cffi<2.0.0,>=1.13.0->gym3<1.0.0,>=0.3.3->procgen) (2.20)
Requirement already satisfied: glcontext<3,>=2 in /zhome/09/9/144141/.local/lib/python3.8/site-packages (from moderngl<6.0.0,>=5.5.4->gym3<1.0.0,>=0.3.3->procgen) (2.2.0)
Run name sd_n_na_sp
Encoder used Nature
Augumentation used none
Mixreg? False
Game starpilot
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Embrace Nature!
Step: 8192	Mean reward: 8.401390075683594, 	Mean reward done: 2.391955614089966
Estimated time of completion: 3.6699042215736375 hours
Step: 16384	Mean reward: 5.01173210144043, 	Mean reward done: 1.1869502067565918
Step: 24576	Mean reward: 6.072393894195557, 	Mean reward done: 1.7209231853485107
Step: 32768	Mean reward: 5.652963161468506, 	Mean reward done: 1.4893968105316162
Step: 40960	Mean reward: 5.186253547668457, 	Mean reward done: 1.2714588642120361
Step: 49152	Mean reward: 5.222989559173584, 	Mean reward done: 1.6510833501815796
Step: 57344	Mean reward: 4.5392022132873535, 	Mean reward done: 1.2061066627502441
Step: 65536	Mean reward: 5.427802562713623, 	Mean reward done: 1.5280601978302002
Step: 73728	Mean reward: 5.414905548095703, 	Mean reward done: 1.5296958684921265
Step: 81920	Mean reward: 4.674712181091309, 	Mean reward done: 1.2451655864715576
Step: 90112	Mean reward: 5.6092634201049805, 	Mean reward done: 1.6605968475341797
Step: 98304	Mean reward: 6.003154277801514, 	Mean reward done: 1.773690104484558
Step: 106496	Mean reward: 5.211093425750732, 	Mean reward done: 1.5583083629608154
Step: 114688	Mean reward: 5.841490268707275, 	Mean reward done: 1.7322946786880493
Step: 122880	Mean reward: 5.748354434967041, 	Mean reward done: 1.5890238285064697
Step: 131072	Mean reward: 6.705657958984375, 	Mean reward done: 1.8561134338378906
Step: 139264	Mean reward: 5.592010974884033, 	Mean reward done: 1.6030288934707642
Step: 147456	Mean reward: 6.4716596603393555, 	Mean reward done: 1.9669089317321777
Step: 155648	Mean reward: 6.214137554168701, 	Mean reward done: 1.7613780498504639
Step: 163840	Mean reward: 5.873950958251953, 	Mean reward done: 1.7114077806472778
Step: 172032	Mean reward: 6.208503723144531, 	Mean reward done: 1.8285889625549316
Step: 180224	Mean reward: 6.999631404876709, 	Mean reward done: 2.1143951416015625
Step: 188416	Mean reward: 7.285261154174805, 	Mean reward done: 2.1925041675567627
Step: 196608	Mean reward: 5.82483434677124, 	Mean reward done: 1.6312803030014038
Step: 204800	Mean reward: 6.550471305847168, 	Mean reward done: 1.9568417072296143
Step: 212992	Mean reward: 6.504764080047607, 	Mean reward done: 1.857938289642334
Step: 221184	Mean reward: 6.291653633117676, 	Mean reward done: 1.9393161535263062
Step: 229376	Mean reward: 6.754570960998535, 	Mean reward done: 2.2711493968963623
Step: 237568	Mean reward: 6.074728488922119, 	Mean reward done: 1.8237382173538208
Step: 245760	Mean reward: 6.481184482574463, 	Mean reward done: 1.9762901067733765
Step: 253952	Mean reward: 6.169620513916016, 	Mean reward done: 1.7213811874389648
Step: 262144	Mean reward: 7.357526779174805, 	Mean reward done: 2.391228199005127
Step: 270336	Mean reward: 6.1380696296691895, 	Mean reward done: 2.108548402786255
Step: 278528	Mean reward: 5.941554069519043, 	Mean reward done: 1.6938719749450684
Step: 286720	Mean reward: 6.971216678619385, 	Mean reward done: 2.1898396015167236
Step: 294912	Mean reward: 6.626202583312988, 	Mean reward done: 2.1678781509399414
Step: 303104	Mean reward: 6.129974365234375, 	Mean reward done: 1.894895076751709
Step: 311296	Mean reward: 6.039915561676025, 	Mean reward done: 1.782673954963684
Step: 319488	Mean reward: 6.8391008377075195, 	Mean reward done: 2.2009685039520264
Step: 327680	Mean reward: 6.170982837677002, 	Mean reward done: 2.0467894077301025
Step: 335872	Mean reward: 6.826194763183594, 	Mean reward done: 2.186065673828125
Step: 344064	Mean reward: 5.649575233459473, 	Mean reward done: 1.6494829654693604
Step: 352256	Mean reward: 6.444433212280273, 	Mean reward done: 1.948230266571045
Step: 360448	Mean reward: 7.3191962242126465, 	Mean reward done: 2.3248260021209717
Step: 368640	Mean reward: 6.833627223968506, 	Mean reward done: 2.037277936935425
Step: 376832	Mean reward: 6.666568756103516, 	Mean reward done: 2.1605772972106934
Step: 385024	Mean reward: 6.775207042694092, 	Mean reward done: 2.047595977783203
Step: 393216	Mean reward: 7.168365478515625, 	Mean reward done: 2.3724477291107178
